MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,0.945828
,2023-01-02,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.477705
,2023-01-03,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.648063
,2023-01-04,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.943874
,2023-01-05,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.3786510000000005
,2023-01-06,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.075078
,2023-01-07,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.62343
,2023-01-08,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,3.500679
,2023-01-09,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.137054
,2023-01-10,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.086601
,2023-01-11,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.510669
,2023-01-12,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.668404
,2023-01-13,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.250594
,2023-01-14,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.551716
,2023-01-15,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.940189
,2023-01-16,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.83829
,2023-01-17,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.899179
,2023-01-18,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,6.043972
,2023-01-19,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.779061
,2023-01-20,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.801594
,2023-01-21,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.957654
,2023-01-22,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.58265
,2023-01-23,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.884819
,2023-01-24,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.926116
,2023-01-25,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,6.419307
,2023-01-26,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.221323
,2023-01-27,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.9148
,2023-01-28,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.789031
,2023-01-29,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.386404
,2023-01-30,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.979225
,2023-01-31,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.933985
,2023-02-01,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.148608
,2023-02-02,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,6.063196
,2023-02-03,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,6.06752
,2023-02-04,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,6.238063
,2023-02-05,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.413093
,2023-02-06,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.9404
,2023-02-07,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.863844
,2023-02-08,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.178649
,2023-02-09,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.261696
,2023-02-10,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.839092
,2023-02-11,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.939132
,2023-02-12,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.809
,2023-02-13,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.127621
,2023-02-14,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.4157470000000005
,2023-02-15,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.149483
,2023-02-16,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.391186
,2023-02-17,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.953196
,2023-02-18,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.492758
,2023-02-19,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,3.875496
,2023-02-20,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.475553
,2023-02-21,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.449736
,2023-02-22,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.607107
,2023-02-23,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.9944180000000005
,2023-02-24,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.772109
,2023-02-25,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.238808
,2023-02-26,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.690724
,2023-02-27,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.378245
,2023-02-28,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.798319
,2023-03-01,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.845913
,2023-03-02,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.097908
,2023-03-03,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.832882
,2023-03-04,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.298573
,2023-03-05,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.486148
,2023-03-06,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.238852
,2023-03-07,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.159274
,2023-03-08,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.195118
,2023-03-09,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.247739
,2023-03-10,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.999558
,2023-03-11,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.064566
,2023-03-12,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.66494
,2023-03-13,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.058922
,2023-03-14,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.077476
,2023-03-15,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.077186
,2023-03-16,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.206591
,2023-03-17,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.787907
,2023-03-18,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.953447
,2023-03-19,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.509059
,2023-03-20,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.292178
,2023-03-21,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.267017
,2023-03-22,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.394983
,2023-03-23,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.275518
,2023-03-24,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.930712
,2023-03-25,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.756702
,2023-03-26,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.16267
,2023-03-27,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.7843480000000005
,2023-03-28,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.825846
,2023-03-29,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.8805950000000005
,2023-03-30,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.331807
,2023-03-31,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.402966
,2023-04-01,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,5.699145
,2023-04-02,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,3.882146
,2023-04-03,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.743009
,2023-04-04,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.830713
,2023-04-05,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.94895
,2023-04-06,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.838231
,2023-04-07,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.303604
,2023-04-08,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.633756
,2023-04-09,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.13966
,2023-04-10,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.699273
,2023-04-11,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.897714
,2023-04-12,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.916762
,2023-04-13,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.915392
,2023-04-14,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.852078
,2023-04-15,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.787691
,2023-04-16,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,3.967497
,2023-04-17,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.960552
,2023-04-18,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.9350510000000005
,2023-04-19,100354.0,PAT IPORANGACL 514 23,Consumidor Livre,SUDESTE,19.200000000000003,4.856121
