MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-11-01,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,3.594222
,2023-11-02,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,2.045389
,2023-11-03,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,3.798088
,2023-11-04,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,4.077172
,2023-11-05,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,4.01423
,2023-11-06,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,3.623072
,2023-11-07,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,3.022325
,2023-11-08,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.35495
,2023-11-09,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.875543
,2023-11-10,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,2.325159
,2023-11-11,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.380451
,2023-11-12,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.685149
,2023-11-13,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.807063
,2023-11-14,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.642118
,2023-11-15,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.223273
,2023-11-16,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.840113
,2023-11-17,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.514585
,2023-11-18,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.218906
,2023-11-19,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.067287
,2023-11-20,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.104048
,2023-11-21,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.110114
,2023-11-22,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.103262
,2023-11-23,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.508887
,2023-11-24,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.738267
,2023-11-25,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.379838
,2023-11-26,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.159169
,2023-11-27,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.837072
,2023-11-28,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.7292000000000001
,2023-11-29,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.842126
,2023-11-30,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.090664
,2023-12-01,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.061711
,2023-12-02,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.631161
,2023-12-03,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.175542
,2023-12-04,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.836864
,2023-12-05,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.932404
,2023-12-06,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.04256
,2023-12-07,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.027195
,2023-12-08,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.152189
,2023-12-09,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.565949
,2023-12-10,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.180053
,2023-12-11,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.288308
,2023-12-12,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.231605
,2023-12-13,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,1.062205
,2023-12-14,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.960694
,2023-12-15,104706.0,PLANTAR CEREAIS,Comercializador,SUDESTE,12.0,0.737367
