MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202405.0,2024-05-01,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.479061
202405.0,2024-05-02,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.583111
202405.0,2024-05-03,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.987335
202405.0,2024-05-04,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.684194
202405.0,2024-05-05,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.139951
202405.0,2024-05-06,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.427739
202405.0,2024-05-07,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.559952
202405.0,2024-05-08,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.434368
202405.0,2024-05-09,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.770957
202405.0,2024-05-10,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.40194
202405.0,2024-05-11,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.112472
202405.0,2024-05-12,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.120893
202405.0,2024-05-13,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.506813
202405.0,2024-05-14,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.441005
202405.0,2024-05-15,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.532809
202405.0,2024-05-16,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.256712
202405.0,2024-05-17,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.485996
202405.0,2024-05-18,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.151791
202405.0,2024-05-19,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.144817
202405.0,2024-05-20,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.134284
202405.0,2024-05-21,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.538892
202405.0,2024-05-22,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.462522
202405.0,2024-05-23,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.422612
202405.0,2024-05-24,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.235154
202405.0,2024-05-25,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.86025
202405.0,2024-05-26,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.139208
202405.0,2024-05-27,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.425045
202405.0,2024-05-28,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.509288
202405.0,2024-05-29,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.350949
202405.0,2024-05-30,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.640967
202405.0,2024-05-31,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.684076
202406.0,2024-06-01,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.125207
202406.0,2024-06-02,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,0.113078
202406.0,2024-06-03,138885.0,PLUMA FORMOSA,Consumidor Especial,SUDESTE,6.0,1.434574
