MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-09-01,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,4.233761
,2023-09-01,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,2.531279
,2023-09-02,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,6.940626
,2023-09-02,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,1.22336
,2023-09-03,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,4.157556
,2023-09-03,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,0.155394
,2023-09-04,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,6.720784
,2023-09-04,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,1.931666
,2023-09-05,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,7.572969
,2023-09-05,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,2.462398
,2023-09-06,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,7.477889
,2023-09-06,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,2.726146
,2023-09-07,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,4.847081
,2023-09-07,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,3.086206
,2023-09-08,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,7.1209
,2023-09-08,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,2.986423
,2023-09-09,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,5.48389
,2023-09-09,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,0.430582
,2023-09-10,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,3.782018
,2023-09-10,103641.0,PRIME VAR LIVRE-50%,Comercializador,SUDESTE,12.0,0.092567
,2023-09-11,103641.0,PRIME VAR LIVRE-50%,Comercializador,NORTE,20.64,7.214291
