MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-10-01,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.747656
,2023-10-02,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,4.15349
,2023-10-03,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,4.224388
,2023-10-04,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.937978
,2023-10-05,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.586409
,2023-10-06,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.440202
,2023-10-07,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.5888
,2023-10-08,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.306774
,2023-10-09,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.589492
,2023-10-10,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.608051
,2023-10-11,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.855482
,2023-10-12,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.56822
,2023-10-13,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.782331
,2023-10-14,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.073447
,2023-10-15,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,2.86539
,2023-10-16,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.477402
,2023-10-17,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.341712
,2023-10-18,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.357378
,2023-10-19,103067.0,PRIME VAR ESPECIAL-50%,Comercializador,SUDESTE,12.0,3.487623
