MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,58.432693
,2022-01-02,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,60.116665
,2022-01-03,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,194.297585
,2022-01-04,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,220.892106
,2022-01-05,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,222.851513
,2022-01-06,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,217.467931
,2022-01-07,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,216.226226
,2022-01-08,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,217.549342
,2022-01-09,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,183.657568
,2022-01-10,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,215.091752
,2022-01-11,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,218.476592
,2022-01-12,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,215.812782
,2022-01-13,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,190.511385
,2022-01-14,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,209.748873
,2022-01-15,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,217.982973
,2022-01-16,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,126.209309
,2022-01-17,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,214.167921
,2022-01-18,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,217.135312
,2022-01-19,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,215.816586
,2022-01-20,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,215.599309
,2022-01-21,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,215.049065
,2022-01-22,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,211.716486
,2022-01-23,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,189.399477
,2022-01-24,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,213.817972
,2022-01-25,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,217.040782
,2022-01-26,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,220.105811
,2022-01-27,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,220.151558
,2022-01-28,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,217.908931
,2022-01-29,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,212.372696
,2022-01-30,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,88.021123
,2022-01-31,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,206.162084
,2022-02-01,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,215.295473
,2022-02-02,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,221.830599
,2022-02-03,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,216.895022
,2022-02-04,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,217.381544
,2022-02-05,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,209.12587
,2022-02-06,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,87.469515
,2022-02-07,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,214.661747
,2022-02-08,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,215.842529
,2022-02-09,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,213.182415
,2022-02-10,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,216.945166
,2022-02-11,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,219.186736
,2022-02-12,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,213.81883
,2022-02-13,58307,PROCTER&GAMBLE CL,Consumidor Livre,SUDESTE,240.0,88.085482
