MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,0.658954
,2022-01-02,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,0.671622
,2022-01-03,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,10.990449
,2022-01-04,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.046446
,2022-01-05,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.720036
,2022-01-06,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.853778
,2022-01-07,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.558014
,2022-01-08,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,9.064619
,2022-01-09,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,2.423224
,2022-01-10,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,13.02198
,2022-01-11,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.846277
,2022-01-12,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.973708
,2022-01-13,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.554851
,2022-01-14,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.454396
,2022-01-15,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,9.0124
,2022-01-16,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,1.86458
,2022-01-17,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,11.174735
,2022-01-18,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,13.925098
,2022-01-19,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,12.8877
,2022-01-20,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,12.695796
,2022-01-21,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,12.826284
,2022-01-22,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,5.919358
,2022-01-23,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,1.542925
,2022-01-24,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,11.753659
,2022-01-25,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.879846
,2022-01-26,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.361277
,2022-01-27,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.912353
,2022-01-28,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.89984
,2022-01-29,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,9.653325
,2022-01-30,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,1.852801
,2022-01-31,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,12.075546
,2022-02-01,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,16.713247
,2022-02-02,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.760658
,2022-02-03,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,16.134674
,2022-02-04,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.661552
,2022-02-05,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,3.047287
,2022-02-06,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,0.837315
,2022-02-07,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,10.050371
,2022-02-08,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.331244
,2022-02-09,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.024658
,2022-02-10,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,15.257876
,2022-02-11,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,12.935964
,2022-02-12,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,8.739581
,2022-02-13,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,1.894473
,2022-02-14,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,10.547831
,2022-02-15,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,13.834352
,2022-02-16,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,13.459274
,2022-02-17,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,14.474477
,2022-02-18,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,13.16
,2022-02-19,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,6.918577
,2022-02-20,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,1.492153
,2022-02-21,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,11.111417
,2022-02-22,88555.0,PW USINAGEM,Consumidor Especial,SUDESTE,12.0,13.397949
