MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.003066
,2023-01-02,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.020439
,2023-01-03,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.037584
,2023-01-04,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,1.953353
,2023-01-05,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,1.961219
,2023-01-06,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,1.945494
,2023-01-07,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,1.79905
,2023-01-08,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,1.964364
,2023-01-09,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.020836
,2023-01-10,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.108878
,2023-01-11,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.059697
,2023-01-12,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.119159
,2023-01-13,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.467403
,2023-01-14,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.207326
,2023-01-15,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.444376
,2023-01-16,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.36001
,2023-01-17,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.801614
,2023-01-18,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.794102
,2023-01-19,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.854085
,2023-01-20,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.496161
,2023-01-21,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,1.723807
,2023-01-22,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.091905
,2023-01-23,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.531309
,2023-01-24,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.724437
,2023-01-25,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.803365
,2023-01-26,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.594244
,2023-01-27,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.399268
,2023-01-28,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.723841
,2023-01-29,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.778856
,2023-01-30,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.923684
,2023-01-31,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.917305
,2023-02-01,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.890052
,2023-02-02,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.944556
,2023-02-03,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.643632
,2023-02-04,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.122094
,2023-02-05,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.539345
,2023-02-06,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.586508
,2023-02-07,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.617253
,2023-02-08,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.353229
,2023-02-09,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.824304
,2023-02-10,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.520034
,2023-02-11,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.195777
,2023-02-12,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.177083
,2023-02-13,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.251847
,2023-02-14,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.668873
,2023-02-15,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.895864
,2023-02-16,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.9458
,2023-02-17,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.760977
,2023-02-18,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.358434
,2023-02-19,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,1.879486
,2023-02-20,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.213009
,2023-02-21,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.424161
,2023-02-22,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.258562
,2023-02-23,44496.0,RADISSON BERRINI CL 514,Consumidor Livre,SUDESTE,12.0,2.130725
