MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202410.0,2024-10-01,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.244195
202410.0,2024-10-02,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.028583
202410.0,2024-10-03,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.029239
202410.0,2024-10-04,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.031677
202410.0,2024-10-05,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.318036
202410.0,2024-10-06,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.691155
202410.0,2024-10-07,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.406123
202410.0,2024-10-08,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.399877
202410.0,2024-10-09,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.14886
202410.0,2024-10-10,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.572841
202410.0,2024-10-11,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.59789
202410.0,2024-10-12,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.602811
202410.0,2024-10-13,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.6123999999999999
202410.0,2024-10-14,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.385159
202410.0,2024-10-15,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.539977
202410.0,2024-10-16,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.394172
202410.0,2024-10-17,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.243743
202410.0,2024-10-18,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.137227
202410.0,2024-10-19,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.454715
202410.0,2024-10-20,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.462965
202410.0,2024-10-21,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.405078
202410.0,2024-10-22,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.4884819999999999
202410.0,2024-10-23,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.657714
202410.0,2024-10-24,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.346024
202410.0,2024-10-25,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.542161
202410.0,2024-10-26,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.64817
202410.0,2024-10-27,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.410069
202410.0,2024-10-28,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.309801
202410.0,2024-10-29,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.455614
202410.0,2024-10-30,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.515205
202410.0,2024-10-31,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.663227
202411.0,2024-11-01,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.42215
202411.0,2024-11-02,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.427215
202411.0,2024-11-03,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.286477
202411.0,2024-11-04,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.3563969999999999
202411.0,2024-11-05,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.176803
202411.0,2024-11-06,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.325287
202411.0,2024-11-07,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.805256
202411.0,2024-11-08,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.938153
202411.0,2024-11-09,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.681753
202411.0,2024-11-10,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.849874
202411.0,2024-11-11,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.68321
202411.0,2024-11-12,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.819698
202411.0,2024-11-13,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.137227
202411.0,2024-11-14,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.028404
202411.0,2024-11-15,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.61578
202411.0,2024-11-16,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.526598
202411.0,2024-11-17,153523,RAIZEN FAZENDA CASCATA,Consumidor Especial,SUDESTE,2.88,0.580434
