MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-09-01,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.387596
,2023-09-02,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.3449299999999999
,2023-09-03,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.05264
,2023-09-04,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,1.918088
,2023-09-05,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.718322
,2023-09-06,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.717721
,2023-09-07,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.250532
,2023-09-08,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.755801
,2023-09-09,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.053724
,2023-09-10,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.051687
,2023-09-11,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.322704
,2023-09-12,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.951621
,2023-09-13,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.272022
,2023-09-14,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,3.000766
,2023-09-15,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.47322
,2023-09-16,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.05798
,2023-09-17,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.055715
,2023-09-18,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,1.662316
,2023-09-19,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.422484
,2023-09-20,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.874863
,2023-09-21,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.874593
,2023-09-22,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.9328
,2023-09-23,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.329617
,2023-09-24,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.052314
,2023-09-25,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.097172
,2023-09-26,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.7325969999999999
,2023-09-27,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.771551
,2023-09-28,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.877078
,2023-09-29,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.769339
,2023-09-30,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.418387
,2023-10-01,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.048493
,2023-10-02,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.616795
,2023-10-03,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.744912
,2023-10-04,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.751951
,2023-10-05,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.8660559999999999
,2023-10-06,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,1.475161
,2023-10-07,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.149441
,2023-10-08,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.048346
,2023-10-09,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.042438
,2023-10-10,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.370113
,2023-10-11,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,2.081545
,2023-10-12,106656,RECICLAPACK,Consumidor Especial,SUDESTE,12.0,0.05753
