MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,0.093299
,2023-01-02,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,0.092859
,2023-01-03,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,0.090492
,2023-01-04,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,6.293114
,2023-01-05,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.671722
,2023-01-06,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,10.349227
,2023-01-07,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,3.678057
,2023-01-08,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,0.124862
,2023-01-09,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,6.0221
,2023-01-10,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,10.380038
,2023-01-11,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.750453
,2023-01-12,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.477097
,2023-01-13,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.838863
,2023-01-14,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,3.34904
,2023-01-15,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,0.294024
,2023-01-16,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,5.412405
,2023-01-17,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.061718
,2023-01-18,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.087838
,2023-01-19,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.949602
,2023-01-20,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,8.951165
,2023-01-21,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,3.379207
,2023-01-22,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,0.129987
,2023-01-23,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,5.000687
,2023-01-24,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,8.179099
,2023-01-25,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,8.174372
,2023-01-26,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,8.511276
,2023-01-27,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,7.969868
,2023-01-28,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,2.788573
,2023-01-29,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,0.114005
,2023-01-30,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,4.1724760000000005
,2023-01-31,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,6.493917
,2023-02-01,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,7.460242
,2023-02-02,44175,RECOPLAST CL,Consumidor Livre,SUL,15.6,9.975811
