MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-07-01,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.019908
,2022-07-02,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.163216
,2022-07-03,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.462085
,2022-07-04,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.876658
,2022-07-05,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.751682
,2022-07-06,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.268302
,2022-07-07,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.885779
,2022-07-08,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.310223
,2022-07-09,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.272336
,2022-07-10,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.928623
,2022-07-11,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.975876
,2022-07-12,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.869644
,2022-07-13,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.749304
,2022-07-14,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.764957
,2022-07-15,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.958758
,2022-07-16,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.091888
,2022-07-17,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.627498
,2022-07-18,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.891227
,2022-07-19,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.589969
,2022-07-20,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.643279
,2022-07-21,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.722302
,2022-07-22,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.138118
,2022-07-23,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.203071
,2022-07-24,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.546835
,2022-07-25,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.767947
,2022-07-26,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.711397
,2022-07-27,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.718331
,2022-07-28,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.743703
,2022-07-29,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.007613
,2022-07-30,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.15225
,2022-07-31,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.58574
,2022-08-01,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.928086
,2022-08-02,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.884122
,2022-08-03,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.122422
,2022-08-04,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.944271
,2022-08-05,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.341341
,2022-08-06,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.185769
,2022-08-07,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.752657
,2022-08-08,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.874138
,2022-08-09,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.905191
,2022-08-10,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.940675
,2022-08-11,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.024972
,2022-08-12,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.13062
,2022-08-13,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,5.138959
,2022-08-14,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,3.8367
,2022-08-15,99767,REDE SERVE CE,Consumidor Especial,SUDESTE,12.0,4.817552
