MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202505.0,2025-05-01,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,7.232004
202505.0,2025-05-02,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,7.028822
202505.0,2025-05-03,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,7.460316
202505.0,2025-05-04,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,6.6597290000000005
202505.0,2025-05-05,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.17985
202505.0,2025-05-06,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.467289000000001
202505.0,2025-05-07,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.113245
202505.0,2025-05-08,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.95302
202505.0,2025-05-09,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.577661
202505.0,2025-05-10,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,7.034241
202505.0,2025-05-11,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,6.611544
202505.0,2025-05-12,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.152775
202505.0,2025-05-13,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.51361
202505.0,2025-05-14,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.057248
202505.0,2025-05-15,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.822686000000001
202505.0,2025-05-16,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.530761
202505.0,2025-05-17,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.497291
202505.0,2025-05-18,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.515246
202505.0,2025-05-19,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.646181
202505.0,2025-05-20,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.668838
202505.0,2025-05-21,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.381006
202505.0,2025-05-22,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.491055
202505.0,2025-05-23,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.313983
202505.0,2025-05-24,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,6.962662
202505.0,2025-05-25,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,8.738947
202505.0,2025-05-26,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,7.685640999999999
202505.0,2025-05-27,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.378404
202505.0,2025-05-28,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,10.216549
202505.0,2025-05-29,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.194983
202505.0,2025-05-30,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,9.477456
202505.0,2025-05-31,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,4.986394
202506.0,2025-06-01,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.021373
202506.0,2025-06-02,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.990485
202506.0,2025-06-03,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.051912
202506.0,2025-06-04,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.238526
202506.0,2025-06-05,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.242288
202506.0,2025-06-06,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.242965
202506.0,2025-06-07,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.944955
202506.0,2025-06-08,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.683922
202506.0,2025-06-09,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.160528
202506.0,2025-06-10,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.513291
202506.0,2025-06-11,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.289546
202506.0,2025-06-12,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.189656
202506.0,2025-06-13,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.229235
202506.0,2025-06-14,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.452186
202506.0,2025-06-15,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.316303
202506.0,2025-06-16,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.736806
202506.0,2025-06-17,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.705178
202506.0,2025-06-18,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.103019
202506.0,2025-06-19,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.752823
202506.0,2025-06-20,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.105716
202506.0,2025-06-21,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.89414
202506.0,2025-06-22,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.666117
202506.0,2025-06-23,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.850639
202506.0,2025-06-24,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.088217
202506.0,2025-06-25,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.100849
202506.0,2025-06-26,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.091527
202506.0,2025-06-27,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.053789
202506.0,2025-06-28,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.678419
202506.0,2025-06-29,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,2.408734
202506.0,2025-06-30,182607.0,SAMBAIBA SAMUEL LUCAS CE,Consumidor Especial,SUDESTE,72.0,3.029304
