MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-06-01,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,4.200616
,2023-06-02,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.929001
,2023-06-03,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.98969
,2023-06-04,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,1.422378
,2023-06-05,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,2.038885
,2023-06-06,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,4.086093
,2023-06-07,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,4.115657
,2023-06-08,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,4.066443
,2023-06-09,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,4.156255
,2023-06-10,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.933099
,2023-06-11,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,1.631067
,2023-06-12,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.957812
,2023-06-13,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.975063
,2023-06-14,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,4.223531
,2023-06-15,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.458056
,2023-06-16,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.718813
,2023-06-17,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.806275
,2023-06-18,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,1.151546
,2023-06-19,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.458656
,2023-06-20,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.826066
,2023-06-21,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.989169
,2023-06-22,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.827879
,2023-06-23,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,4.113829
,2023-06-24,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,3.795848
,2023-06-25,51743.0,SANTA HELENA LATICINIOS,Consumidor Especial,SUL,12.0,1.412621
