MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.075894
,2023-01-02,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.126828
,2023-01-03,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.485751
,2023-01-04,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.614917
,2023-01-05,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.0123
,2023-01-06,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.427852
,2023-01-07,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.15301
,2023-01-08,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.09925
,2023-01-09,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.53494
,2023-01-10,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.352367
,2023-01-11,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.136837
,2023-01-12,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.269788
,2023-01-13,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.06074
,2023-01-14,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.10144
,2023-01-15,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.099193
,2023-01-16,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.225989
,2023-01-17,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.310176
,2023-01-18,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.304759
,2023-01-19,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.154633
,2023-01-20,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.130925
,2023-01-21,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.111103
,2023-01-22,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.11125
,2023-01-23,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.495472
,2023-01-24,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.622971
,2023-01-25,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.394825
,2023-01-26,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.05345
,2023-01-27,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.571324
,2023-01-28,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.126996
,2023-01-29,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.104785
,2023-01-30,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.792466
,2023-01-31,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.0563
,2023-02-01,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.601892
,2023-02-02,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.279182
,2023-02-03,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.734115
,2023-02-04,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.092038
,2023-02-05,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.099601
,2023-02-06,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,4.128938
,2023-02-07,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.508367
,2023-02-08,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.516007
,2023-02-09,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.4353
,2023-02-10,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.570824
,2023-02-11,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.113473
,2023-02-12,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.100441
,2023-02-13,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.575968
,2023-02-14,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.9960150000000003
,2023-02-15,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.383154
,2023-02-16,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.119184
,2023-02-17,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.279197
,2023-02-18,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.119629
,2023-02-19,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.112566
,2023-02-20,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.104392
,2023-02-21,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.146533
,2023-02-22,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,3.272202
,2023-02-23,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,2.837006
,2023-02-24,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,1.986288
,2023-02-25,48063.0,SANTA RITA CRISTAIS CL 514,Consumidor Livre,SUDESTE,12.0,0.110028
