MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-06-01,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-02,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-03,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-04,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-05,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-06,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-07,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-08,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-09,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-10,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-11,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-12,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-13,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-14,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-15,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-16,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-17,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-18,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-19,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-20,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-21,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-22,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-23,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-24,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-25,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-26,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-27,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-28,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-29,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-06-30,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0
,2023-07-01,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.076186
,2023-07-02,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0778
,2023-07-03,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.567369
,2023-07-04,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.564588
,2023-07-05,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.654432
,2023-07-06,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.35138
,2023-07-07,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.474589
,2023-07-08,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.075341
,2023-07-09,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.077578
,2023-07-10,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.54989
,2023-07-11,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.412268
,2023-07-12,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.113036
,2023-07-13,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.4773799999999999
,2023-07-14,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.515908
,2023-07-15,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.074922
,2023-07-16,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.076568
,2023-07-17,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.359021
,2023-07-18,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.081546
,2023-07-19,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.4437179999999999
,2023-07-20,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.434096
,2023-07-21,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.515081
,2023-07-22,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.089858
,2023-07-23,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.07861
,2023-07-24,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.684565
,2023-07-25,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.63397
,2023-07-26,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.505089
,2023-07-27,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.347642
,2023-07-28,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.346789
,2023-07-29,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.079191
,2023-07-30,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.079314
,2023-07-31,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.362291
,2023-08-01,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.2299
,2023-08-02,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.337726
,2023-08-03,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.507422
,2023-08-04,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.274887
,2023-08-05,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.083667
,2023-08-06,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.076809
,2023-08-07,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.6050989999999999
,2023-08-08,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.528369
,2023-08-09,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.559752
,2023-08-10,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.571479
,2023-08-11,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.367966
,2023-08-12,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.07737
,2023-08-13,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.077364
,2023-08-14,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.559963
,2023-08-15,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.132187
,2023-08-16,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.625367
,2023-08-17,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.406849
,2023-08-18,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.5659150000000001
,2023-08-19,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.084965
,2023-08-20,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.090437
,2023-08-21,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.3687229999999999
,2023-08-22,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.120662
,2023-08-23,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.453757
,2023-08-24,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.753515
,2023-08-25,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.348378
,2023-08-26,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.076615
,2023-08-27,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0798939999999999
,2023-08-28,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.395876
,2023-08-29,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.283737
,2023-08-30,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.437396
,2023-08-31,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.421868
,2023-09-01,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.280781
,2023-09-02,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.079924
,2023-09-03,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.078959
,2023-09-04,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.095602
,2023-09-05,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.525704
,2023-09-06,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.41606
,2023-09-07,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.07966
,2023-09-08,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.53767
,2023-09-09,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.078903
,2023-09-10,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.079457
,2023-09-11,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.488679
,2023-09-12,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.4459769999999999
,2023-09-13,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.4844299999999999
,2023-09-14,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.562645
,2023-09-15,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.3702499999999999
,2023-09-16,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.0814
,2023-09-17,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.080081
,2023-09-18,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.15716
,2023-09-19,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.152134
,2023-09-20,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.265901
,2023-09-21,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.277206
,2023-09-22,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.247239
,2023-09-23,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.075246
,2023-09-24,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.076376
,2023-09-25,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.115206
,2023-09-26,106596,SMCV RAMPINELI,Comercializador,SUDESTE,12.576,0.111799
