MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-07-01,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.590467
,2023-07-02,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.282331
,2023-07-03,31187,STARPEX CL,Consumidor Livre,SUL,24.0,2.662571
,2023-07-04,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.178049
,2023-07-05,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.129838
,2023-07-06,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.939163
,2023-07-07,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.186578
,2023-07-08,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.650503
,2023-07-09,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.319948
,2023-07-10,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.990616
,2023-07-11,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.513803
,2023-07-12,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.515626
,2023-07-13,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.984494
,2023-07-14,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.039776
,2023-07-15,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.522817
,2023-07-16,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.258224
,2023-07-17,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.204156
,2023-07-18,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.527582
,2023-07-19,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.146999
,2023-07-20,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.045891
,2023-07-21,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.201216
,2023-07-22,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.926088
,2023-07-23,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.371538
,2023-07-24,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.056855
,2023-07-25,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.326821
,2023-07-26,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.154858
,2023-07-27,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.676908
,2023-07-28,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.562166
,2023-07-29,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.034966
,2023-07-30,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.47858
,2023-07-31,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.045372
,2023-08-01,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.4781450000000005
,2023-08-02,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.251984
,2023-08-03,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.227752
,2023-08-04,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.140663
,2023-08-05,31187,STARPEX CL,Consumidor Livre,SUL,24.0,1.02261
,2023-08-06,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.437542
,2023-08-07,31187,STARPEX CL,Consumidor Livre,SUL,24.0,5.706051
,2023-08-08,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.202296
,2023-08-09,31187,STARPEX CL,Consumidor Livre,SUL,24.0,5.536952
,2023-08-10,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.204683
,2023-08-11,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.267483
,2023-08-12,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.952169
,2023-08-13,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.493762
,2023-08-14,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.127918
,2023-08-15,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.655166
,2023-08-16,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.765968
,2023-08-17,31187,STARPEX CL,Consumidor Livre,SUL,24.0,3.672579
,2023-08-18,31187,STARPEX CL,Consumidor Livre,SUL,24.0,5.853069
,2023-08-19,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.99755
,2023-08-20,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.359505
,2023-08-21,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.0634310000000005
,2023-08-22,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.128978
,2023-08-23,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.467487
,2023-08-24,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.773991
,2023-08-25,31187,STARPEX CL,Consumidor Livre,SUL,24.0,4.89339
,2023-08-26,31187,STARPEX CL,Consumidor Livre,SUL,24.0,0.7210300000000001
