MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,7.983207
,2023-01-02,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.886391
,2023-01-03,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.501017
,2023-01-04,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.97063
,2023-01-05,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.9667
,2023-01-06,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.58239
,2023-01-07,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,10.005757
,2023-01-08,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,8.638999
,2023-01-09,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,10.711134
,2023-01-10,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.714926
,2023-01-11,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.421186
,2023-01-12,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.778656
,2023-01-13,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.81454
,2023-01-14,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,13.330379
,2023-01-15,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.419926
,2023-01-16,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.474481
,2023-01-17,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,13.385488
,2023-01-18,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,13.306458
,2023-01-19,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.961716
,2023-01-20,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.181799
,2023-01-21,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.025941
,2023-01-22,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.153587
,2023-01-23,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.855682
,2023-01-24,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.130188
,2023-01-25,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.021656
,2023-01-26,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.979728
,2023-01-27,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.487413
,2023-01-28,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,13.106021
,2023-01-29,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.6196
,2023-01-30,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.720984
,2023-01-31,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,13.178197
,2023-02-01,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.813327
,2023-02-02,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.60596
,2023-02-03,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.586099
,2023-02-04,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,8.998147
,2023-02-05,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,11.127359
,2023-02-06,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.793927
,2023-02-07,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,9.287657
,2023-02-08,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,13.414492
,2023-02-09,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,13.041818
,2023-02-10,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.21672
,2023-02-11,56560,SUP GUA FL 23 CL SE,Consumidor Livre,SUDESTE,12.84,12.994304
