MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,16.81349
,2022-01-02,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,19.439205
,2022-01-03,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,23.321991
,2022-01-04,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,23.782501
,2022-01-05,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.71584
,2022-01-06,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,26.463403
,2022-01-07,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,24.626346
,2022-01-08,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,24.118698
,2022-01-09,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,18.544368
,2022-01-10,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,23.018267
,2022-01-11,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,23.365214
,2022-01-12,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.466336
,2022-01-13,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,26.666758
,2022-01-14,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,26.114193
,2022-01-15,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.996437
,2022-01-16,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,20.078022
,2022-01-17,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.224606
,2022-01-18,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.742708
,2022-01-19,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,26.5734
,2022-01-20,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,27.058987
,2022-01-21,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,26.771766
,2022-01-22,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,26.96233
,2022-01-23,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,20.298634
,2022-01-24,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.646225
,2022-01-25,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.861409
,2022-01-26,71549.0,SUPERMERCADO FLUMINENSE,Consumidor Especial,SUDESTE,47.16,25.844014
