MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,1.293717
,2023-01-02,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,10.223012
,2023-01-03,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.555433
,2023-01-04,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.638937
,2023-01-05,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,12.474733
,2023-01-06,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.163582
,2023-01-07,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,12.794397
,2023-01-08,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,12.502388
,2023-01-09,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,12.506639
,2023-01-10,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.297985
,2023-01-11,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.259637
,2023-01-12,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.37316
,2023-01-13,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,14.066498
,2023-01-14,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,14.59749
,2023-01-15,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.434262
,2023-01-16,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,13.524767
,2023-01-17,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,14.648246
,2023-01-18,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,14.98905
,2023-01-19,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,14.443352
,2023-01-20,44356,TECELAGEM SAO JOAO CL 514,Consumidor Livre,SUDESTE,22.8,14.085712
