MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.228631
,2022-01-02,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.696889
,2022-01-03,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.959949
,2022-01-04,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.989132
,2022-01-05,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.856017
,2022-01-06,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.666172
,2022-01-07,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.842674
,2022-01-08,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.900499
,2022-01-09,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.678362
,2022-01-10,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.525755
,2022-01-11,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.62273
,2022-01-12,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.675913
,2022-01-13,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.695129
,2022-01-14,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.919064
,2022-01-15,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.766884
,2022-01-16,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.738646
,2022-01-17,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.620468
,2022-01-18,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.583784
,2022-01-19,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.688164
,2022-01-20,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.7916839999999999
,2022-01-21,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.674331
,2022-01-22,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.615448
,2022-01-23,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.696317
,2022-01-24,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.751503
,2022-01-25,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.710657
,2022-01-26,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.831734
,2022-01-27,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.712234
,2022-01-28,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.75116
,2022-01-29,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.598837
,2022-01-30,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.598387
,2022-01-31,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.629005
,2022-02-01,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.7272270000000001
,2022-02-02,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.825984
,2022-02-03,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.670171
,2022-02-04,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.590557
,2022-02-05,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.925496
,2022-02-06,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.815174
,2022-02-07,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.907157
,2022-02-08,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.701007
,2022-02-09,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.854595
,2022-02-10,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.791549
,2022-02-11,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.960198
,2022-02-12,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.69785
,2022-02-13,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.489083
,2022-02-14,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.764429
,2022-02-15,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.698609
,2022-02-16,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.882749
,2022-02-17,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.652401
,2022-02-18,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.837051
,2022-02-19,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.794749
,2022-02-20,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.7911940000000001
,2022-02-21,84636,TERMINAL DE ARAUCARIA 2,Consumidor Especial,SUL,2.16,0.608197
