MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,1.930036
,2022-01-02,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,1.977345
,2022-01-03,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,2.013164
,2022-01-04,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,2.099885
,2022-01-05,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,2.974547
,2022-01-06,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,44.128377
,2022-01-07,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,66.968825
,2022-01-08,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,59.242337
,2022-01-09,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,8.604758
,2022-01-10,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,64.549198
,2022-01-11,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,65.299267
,2022-01-12,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,67.31701
,2022-01-13,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,66.708162
,2022-01-14,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,57.310504
,2022-01-15,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,2.983458
,2022-01-16,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,7.748187
,2022-01-17,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,61.724057
,2022-01-18,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,63.48689
,2022-01-19,81684,TINTURARIA FLORISA CL,Consumidor Livre,SUL,81.6,64.35725
