MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.949739
,2022-01-02,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.996809
,2022-01-03,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.17469
,2022-01-04,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,4.695832
,2022-01-05,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.095975
,2022-01-06,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.575043
,2022-01-07,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.397126
,2022-01-08,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.23789
,2022-01-09,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.606747
,2022-01-10,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,4.871373999999999
,2022-01-11,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.595556
,2022-01-12,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.479696
,2022-01-13,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.493785
,2022-01-14,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.632187
,2022-01-15,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.601923
,2022-01-16,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.745598
,2022-01-17,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.1063410000000005
,2022-01-18,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.039405
,2022-01-19,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.630361
,2022-01-20,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.203674
,2022-01-21,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.526021
,2022-01-22,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.654659
,2022-01-23,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.248023
,2022-01-24,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.725689
,2022-01-25,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.922689
,2022-01-26,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.220828
,2022-01-27,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.156096
,2022-01-28,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.746489
,2022-01-29,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,3.673373
,2022-01-30,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.987279
,2022-01-31,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.6932350000000005
,2022-02-01,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.689699
,2022-02-02,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.60294
,2022-02-03,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.31442
,2022-02-04,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.908756
,2022-02-05,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,4.029181
,2022-02-06,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.944234
,2022-02-07,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.636366
,2022-02-08,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.36218
,2022-02-09,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.030758
,2022-02-10,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.463543
,2022-02-11,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,4.628202
,2022-02-12,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,3.080057
,2022-02-13,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.687749
,2022-02-14,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.661128
,2022-02-15,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.540616
,2022-02-16,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.024612
,2022-02-17,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.586379
,2022-02-18,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.581819
,2022-02-19,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,3.315748
,2022-02-20,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.189582
,2022-02-21,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.342197
,2022-02-22,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.7885670000000005
,2022-02-23,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.793904
,2022-02-24,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.387505
,2022-02-25,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.2235640000000005
,2022-02-26,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,3.1756200000000003
,2022-02-27,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.777347
,2022-02-28,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.305351
,2022-03-01,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.348618
,2022-03-02,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.223783
,2022-03-03,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.404621000000001
,2022-03-04,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.935649
,2022-03-05,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.47138
,2022-03-06,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,2.115592
,2022-03-07,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.217162
,2022-03-08,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.428006
,2022-03-09,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.379309
,2022-03-10,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.754015
,2022-03-11,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.834212
,2022-03-12,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,3.210387
,2022-03-13,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.632119
,2022-03-14,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.255969
,2022-03-15,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.684054
,2022-03-16,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.440582
,2022-03-17,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.65357
,2022-03-18,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,6.033212
,2022-03-19,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,3.168925
,2022-03-20,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,1.517117
,2022-03-21,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.384442
,2022-03-22,65338.0,TRANE TECHNOLOGIES,Consumidor Especial,SUL,19.92,5.415366
