MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202503.0,2025-03-01,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,5.235797
202503.0,2025-03-02,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,2.791496
202503.0,2025-03-03,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,3.472867
202503.0,2025-03-04,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,7.132745
202503.0,2025-03-05,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,16.040212
202503.0,2025-03-06,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,12.797196
202503.0,2025-03-07,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,13.270063
202503.0,2025-03-08,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,8.750168
202503.0,2025-03-09,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,5.081422
202503.0,2025-03-10,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,10.886246
202503.0,2025-03-11,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,13.407909
202503.0,2025-03-12,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,11.137598
202503.0,2025-03-13,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,15.150572
202503.0,2025-03-14,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,12.964259
202503.0,2025-03-15,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,10.067947
202503.0,2025-03-16,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,5.918121
202503.0,2025-03-17,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,9.871095
202503.0,2025-03-18,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,12.683109
202503.0,2025-03-19,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,13.053764
202503.0,2025-03-20,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,12.64171
202503.0,2025-03-21,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,16.282042
202503.0,2025-03-22,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,15.887033
202503.0,2025-03-23,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,13.197345
202503.0,2025-03-24,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,16.661898
202503.0,2025-03-25,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,20.539203
202503.0,2025-03-26,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.614939
202503.0,2025-03-27,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.811244
202503.0,2025-03-28,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,17.238778
202503.0,2025-03-29,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,23.674536
202503.0,2025-03-30,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.983283
202503.0,2025-03-31,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.482879
202504.0,2025-04-01,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,20.303874
202504.0,2025-04-02,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,21.844568
202504.0,2025-04-03,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,22.485515
202504.0,2025-04-04,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.958456
202504.0,2025-04-05,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,20.22331
202504.0,2025-04-06,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,14.988142
202504.0,2025-04-07,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,14.061939
202504.0,2025-04-08,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,17.936805
202504.0,2025-04-09,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.043705
202504.0,2025-04-10,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,22.592681
202504.0,2025-04-11,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,20.504262
202504.0,2025-04-12,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.98817
202504.0,2025-04-13,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,16.371862
202504.0,2025-04-14,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,15.424213
202504.0,2025-04-15,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.443973
202504.0,2025-04-16,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,21.555835
202504.0,2025-04-17,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,20.591195
202504.0,2025-04-18,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,21.10347
202504.0,2025-04-19,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,15.960012
202504.0,2025-04-20,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,15.889358
202504.0,2025-04-21,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,15.691203
202504.0,2025-04-22,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,13.99606
202504.0,2025-04-23,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,21.190607
202504.0,2025-04-24,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.873
202504.0,2025-04-25,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,17.90153
202504.0,2025-04-26,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.404463
202504.0,2025-04-27,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,16.442452
202504.0,2025-04-28,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,14.250318
202504.0,2025-04-29,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,21.535777
202504.0,2025-04-30,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,17.750577
202505.0,2025-05-01,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.736491
202505.0,2025-05-02,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,14.620622
202505.0,2025-05-03,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,17.373321
202505.0,2025-05-04,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,12.419542
202505.0,2025-05-05,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,17.09688
202505.0,2025-05-06,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.002112
202505.0,2025-05-07,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.012508
202505.0,2025-05-08,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,20.543057
202505.0,2025-05-09,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,20.583334
202505.0,2025-05-10,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.9388
202505.0,2025-05-11,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,16.373345
202505.0,2025-05-12,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,14.180775
202505.0,2025-05-13,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,17.783421
202505.0,2025-05-14,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.950732
202505.0,2025-05-15,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,19.60389
202505.0,2025-05-16,130809.0,TRANSPPASS TRANSPORTE,Consumidor Especial,SUDESTE,77.4,18.947601
