MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,4.353419
,2022-01-02,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.4507030000000003
,2022-01-03,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.49254
,2022-01-04,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.5696060000000003
,2022-01-05,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.465587
,2022-01-06,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.189639
,2022-01-07,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.339269
,2022-01-08,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.224792
,2022-01-09,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.479733
,2022-01-10,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.387864
,2022-01-11,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.565906
,2022-01-12,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.788339
,2022-01-13,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.032141
,2022-01-14,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.7014
,2022-01-15,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.20436
,2022-01-16,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.194226
,2022-01-17,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.484407
,2022-01-18,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.4763040000000003
,2022-01-19,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.451846
,2022-01-20,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.429064
,2022-01-21,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.542886
,2022-01-22,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.600454
,2022-01-23,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.286431
,2022-01-24,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.494218
,2022-01-25,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.59399
,2022-01-26,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.411799
,2022-01-27,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.4095340000000003
,2022-01-28,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.92811
,2022-01-29,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.615062
,2022-01-30,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.546339
,2022-01-31,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.003376
,2022-02-01,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.023268
,2022-02-02,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.673415
,2022-02-03,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.961462
,2022-02-04,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.355467
,2022-02-05,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.483735
,2022-02-06,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.20883
,2022-02-07,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.101105
,2022-02-08,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.916326
,2022-02-09,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.763229
,2022-02-10,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.833589
,2022-02-11,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.826625
,2022-02-12,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.064538
,2022-02-13,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.320762
,2022-02-14,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.433198
,2022-02-15,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.122953
,2022-02-16,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.268507
,2022-02-17,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.101346
,2022-02-18,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,2.952263
,2022-02-19,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.091566
,2022-02-20,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.170831
,2022-02-21,97144,TREM DO CORCOVADO,Consumidor Especial,SUDESTE,14.856,3.169423
