MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.151667
,2023-01-02,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.722728
,2023-01-03,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.680372
,2023-01-04,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.830214
,2023-01-05,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.976855
,2023-01-06,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.009655
,2023-01-07,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.358213
,2023-01-08,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.383238
,2023-01-09,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.480776
,2023-01-10,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.222903
,2023-01-11,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.573929
,2023-01-12,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,3.0326310000000003
,2023-01-13,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.198381
,2023-01-14,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.711424
,2023-01-15,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.422384
,2023-01-16,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.624095
,2023-01-17,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.493558
,2023-01-18,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,3.71258
,2023-01-19,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.058622
,2023-01-20,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.919716
,2023-01-21,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.474675
,2023-01-22,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.8593770000000003
,2023-01-23,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,4.734107
,2023-01-24,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,4.025497
,2023-01-25,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.094957
,2023-01-26,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,4.841452
,2023-01-27,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,4.330768
,2023-01-28,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.038838
,2023-01-29,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.756112
,2023-01-30,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.32089
,2023-01-31,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.829214
,2023-02-01,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.487604
,2023-02-02,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,4.761343
,2023-02-03,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,4.397583
,2023-02-04,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.40554
,2023-02-05,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.592937
,2023-02-06,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.353809
,2023-02-07,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.922315
,2023-02-08,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.069848
,2023-02-09,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.16175
,2023-02-10,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.550943
,2023-02-11,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.47753
,2023-02-12,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.747088
,2023-02-13,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,8.082958
,2023-02-14,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.152214
,2023-02-15,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.072335
,2023-02-16,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.387482
,2023-02-17,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,3.820219
,2023-02-18,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.544213
,2023-02-19,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.523592
,2023-02-20,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.588558
,2023-02-21,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.516633
,2023-02-22,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,4.013221
,2023-02-23,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.929021
,2023-02-24,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.668879
,2023-02-25,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,3.663286
,2023-02-26,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.562894
,2023-02-27,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.638378
,2023-02-28,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.306137
,2023-03-01,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.081421
,2023-03-02,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.515237
,2023-03-03,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.215218
,2023-03-04,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,3.302579
,2023-03-05,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.357853
,2023-03-06,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.561151
,2023-03-07,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.239231
,2023-03-08,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.821832
,2023-03-09,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.670279
,2023-03-10,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.152558
,2023-03-11,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,2.629934
,2023-03-12,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.306776
,2023-03-13,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.59354
,2023-03-14,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.5349
,2023-03-15,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.174528
,2023-03-16,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.822741
,2023-03-17,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,8.106994
,2023-03-18,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.384142
,2023-03-19,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,1.674694
,2023-03-20,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,7.064
,2023-03-21,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.52474
,2023-03-22,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.970213
,2023-03-23,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,6.847472
,2023-03-24,46678,UNIEFS CL 514,Consumidor Livre,NORDESTE,13.2,5.7449650000000005
