MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202412.0,2024-12-01,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,16.290622
202412.0,2024-12-02,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,18.855758
202412.0,2024-12-03,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,16.835968
202412.0,2024-12-04,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,16.697944
202412.0,2024-12-05,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,16.942519
202412.0,2024-12-06,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,18.410756
202412.0,2024-12-07,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,14.867874
202412.0,2024-12-08,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,8.057775
202412.0,2024-12-09,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,17.503684
202412.0,2024-12-10,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,17.282842
202412.0,2024-12-11,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,19.102496
202412.0,2024-12-12,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,16.560649
202412.0,2024-12-13,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,16.122772
202412.0,2024-12-14,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,13.254033
202412.0,2024-12-15,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,8.779419
202412.0,2024-12-16,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,16.251178
202412.0,2024-12-17,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,17.056
202412.0,2024-12-18,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,17.203843
202412.0,2024-12-19,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,17.113627
202412.0,2024-12-20,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,17.589481
202412.0,2024-12-21,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,13.665909
202412.0,2024-12-22,141872,USINA SAO MANOEL,Consumidor Livre,SUDESTE,43.2,12.086626
