MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-02-01,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.623927000000002
,2022-02-02,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.46341
,2022-02-03,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.010734
,2022-02-04,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,15.58869
,2022-02-05,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,10.837904
,2022-02-06,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,4.754183
,2022-02-07,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.230653
,2022-02-08,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.305248
,2022-02-09,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.218043
,2022-02-10,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.965484
,2022-02-11,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.162458
,2022-02-12,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,11.590863
,2022-02-13,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,3.956363
,2022-02-14,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.533511
,2022-02-15,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.216618999999998
,2022-02-16,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.68022
,2022-02-17,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.290815
,2022-02-18,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.216249
,2022-02-19,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,11.332312
,2022-02-20,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,5.145832
,2022-02-21,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.426131
,2022-02-22,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.090455
,2022-02-23,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,15.218183
,2022-02-24,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.083868
,2022-02-25,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,15.694963
,2022-02-26,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,3.717394
,2022-02-27,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,3.575991
,2022-02-28,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,14.023706
,2022-03-01,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,14.121996
,2022-03-02,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,13.588599
,2022-03-03,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,14.482175
,2022-03-04,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,15.365304
,2022-03-05,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,10.697706
,2022-03-06,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,4.846694
,2022-03-07,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.022038
,2022-03-08,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.226644
,2022-03-09,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.444253
,2022-03-10,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.426122
,2022-03-11,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.222887
,2022-03-12,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,12.061891
,2022-03-13,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,4.742616
,2022-03-14,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,14.779477
,2022-03-15,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.319817999999998
,2022-03-16,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.280167
,2022-03-17,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.492873
,2022-03-18,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.586570000000002
,2022-03-19,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,12.831227
,2022-03-20,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,4.770839
,2022-03-21,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.982248
,2022-03-22,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.119441
,2022-03-23,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.438838
,2022-03-24,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.740321
,2022-03-25,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.577782
,2022-03-26,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,13.375827
,2022-03-27,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,4.672668
,2022-03-28,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.504724
,2022-03-29,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.645173
,2022-03-30,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.89443
,2022-03-31,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.812234
,2022-04-01,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.887293
,2022-04-02,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,12.636982
,2022-04-03,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,4.7062550000000005
,2022-04-04,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.559742
,2022-04-05,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.128742
,2022-04-06,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.199632
,2022-04-07,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,16.029296
,2022-04-08,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,14.412053
,2022-04-09,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,12.80159
,2022-04-10,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,4.408151
,2022-04-11,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.272975
,2022-04-12,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,17.603281
,2022-04-13,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,19.202522
,2022-04-14,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,18.547048
,2022-04-15,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,3.053235
,2022-04-16,37535.0,VALEO CLIMA CL,Consumidor Livre,SUDESTE,26.4,3.085751
