MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202411.0,2024-11-01,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.479611
202411.0,2024-11-02,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.308734
202411.0,2024-11-03,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,16.886459
202411.0,2024-11-04,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.35595
202411.0,2024-11-05,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.320339
202411.0,2024-11-06,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.711461
202411.0,2024-11-07,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,16.300062
202411.0,2024-11-08,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.170305
202411.0,2024-11-09,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,16.869644
202411.0,2024-11-10,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.268238
202411.0,2024-11-11,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.919062
202411.0,2024-11-12,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.859149
202411.0,2024-11-13,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.169357
202411.0,2024-11-14,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.43796
202411.0,2024-11-15,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,16.954938
202411.0,2024-11-16,148082,VOGEL EX MULTIMIDIA,Consumidor Especial,SUDESTE,25.08,17.082816
