MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,1.31483
,2022-01-02,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,1.18835
,2022-01-03,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,3.016529
,2022-01-04,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,5.518159
,2022-01-05,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.426768
,2022-01-06,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.422106
,2022-01-07,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,5.2235320000000005
,2022-01-08,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,2.473232
,2022-01-09,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,1.210313
,2022-01-10,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.273035
,2022-01-11,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,7.125778
,2022-01-12,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.730821
,2022-01-13,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,7.165972
,2022-01-14,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.325989
,2022-01-15,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,1.89208
,2022-01-16,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,1.066702
,2022-01-17,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.905439
,2022-01-18,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.408647
,2022-01-19,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.3974210000000005
,2022-01-20,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.38773
,2022-01-21,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,5.095491
,2022-01-22,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,2.297097
,2022-01-23,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,1.112857
,2022-01-24,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.717009
,2022-01-25,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.793571
,2022-01-26,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.469396
,2022-01-27,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.92704
,2022-01-28,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,5.451068
,2022-01-29,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,2.584976
,2022-01-30,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,1.152361
,2022-01-31,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,6.732634
,2022-02-01,61095.0,WELLOUR,Consumidor Especial,SUL,12.84,7.022405
