MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,29.666129
,2022-10-02,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,21.057753
,2022-10-03,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,25.030424
,2022-10-04,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,24.857614
,2022-10-05,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,26.549391
,2022-10-06,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,27.888882
,2022-10-07,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,29.776836
,2022-10-08,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,29.750804
,2022-10-09,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,27.210557
,2022-10-10,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,26.041407
,2022-10-11,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,34.255942
,2022-10-12,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,28.573151
,2022-10-13,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,30.368485
,2022-10-14,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,27.946991
,2022-10-15,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,34.309517
,2022-10-16,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,31.816524
,2022-10-17,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,19.059385
,2022-10-18,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,28.104855
,2022-10-19,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,30.513965
,2022-10-20,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,32.152569
,2022-10-21,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,33.414614
,2022-10-22,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,33.38096
,2022-10-23,51418,WEST SHOPPING CE,Consumidor Especial,SUDESTE,64.08,25.478708
