MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202412.0,2024-12-01,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.821337
202412.0,2024-12-02,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.441336
202412.0,2024-12-03,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.568792
202412.0,2024-12-04,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.709624
202412.0,2024-12-05,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,3.439856
202412.0,2024-12-06,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,7.113787
202412.0,2024-12-07,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,1.051455
202412.0,2024-12-08,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,1.02472
202412.0,2024-12-09,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.516462
202412.0,2024-12-10,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.874254
202412.0,2024-12-11,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.685268
202412.0,2024-12-12,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,3.560759
202412.0,2024-12-13,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,6.335834
202412.0,2024-12-14,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,1.216549
202412.0,2024-12-15,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,1.20736
202412.0,2024-12-16,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.780872
202412.0,2024-12-17,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.579179
202412.0,2024-12-18,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.559629
202412.0,2024-12-19,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.785625
202412.0,2024-12-20,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.671046
202412.0,2024-12-21,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.964144
202412.0,2024-12-22,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.971485
202412.0,2024-12-23,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.641281
202412.0,2024-12-24,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,1.469379
202412.0,2024-12-25,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.64851
202412.0,2024-12-26,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.212666
202412.0,2024-12-27,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.474334
202412.0,2024-12-28,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.894019
202412.0,2024-12-29,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.8985299999999999
202412.0,2024-12-30,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.494856
202412.0,2024-12-31,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,1.533782
202501.0,2025-01-01,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.781494
202501.0,2025-01-02,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.622379
202501.0,2025-01-03,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.653854
202501.0,2025-01-04,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.79211
202501.0,2025-01-05,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.768774
202501.0,2025-01-06,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.602632
202501.0,2025-01-07,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.387831
202501.0,2025-01-08,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.752672
202501.0,2025-01-09,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.87567
202501.0,2025-01-10,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.819897
202501.0,2025-01-11,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.946147
202501.0,2025-01-12,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.931618
202501.0,2025-01-13,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.910182
202501.0,2025-01-14,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,3.168369
202501.0,2025-01-15,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.840687
202501.0,2025-01-16,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.747062
202501.0,2025-01-17,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.799567
202501.0,2025-01-18,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.991075
202501.0,2025-01-19,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.986778
202501.0,2025-01-20,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.889309
202501.0,2025-01-21,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.613602
202501.0,2025-01-22,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.581413
202501.0,2025-01-23,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.617368
202501.0,2025-01-24,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.560659
202501.0,2025-01-25,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.928183
202501.0,2025-01-26,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.927971
202501.0,2025-01-27,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.541347
202501.0,2025-01-28,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.62643
202501.0,2025-01-29,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.47055
202501.0,2025-01-30,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.63348
202501.0,2025-01-31,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.789783
202502.0,2025-02-01,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.896727
202502.0,2025-02-02,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.739526
202502.0,2025-02-03,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.521342
202502.0,2025-02-04,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.725337
202502.0,2025-02-05,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.585972
202502.0,2025-02-06,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,1.68094
202502.0,2025-02-07,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.320443
202502.0,2025-02-08,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.7845650000000001
202502.0,2025-02-09,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.776709
202502.0,2025-02-10,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.975603
202502.0,2025-02-11,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,3.841663
202502.0,2025-02-12,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,7.408682
202502.0,2025-02-13,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,4.748788
202502.0,2025-02-14,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,8.679327
202502.0,2025-02-15,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,2.218206
202502.0,2025-02-16,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,0.925777
202502.0,2025-02-17,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,8.340994
202502.0,2025-02-18,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,8.652864000000001
202502.0,2025-02-19,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,7.819993
202502.0,2025-02-20,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,8.065031
202502.0,2025-02-21,162952.0,YAKULT LAGES,Consumidor Livre,SUL,20.4,7.799681
