MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-03-01,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.72961
,2022-03-02,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.778829
,2022-03-03,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.628286
,2022-03-04,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.554466
,2022-03-05,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.642739
,2022-03-06,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.576493
,2022-03-07,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.749927
,2022-03-08,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.721008
,2022-03-09,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.7391880000000001
,2022-03-10,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.765151
,2022-03-11,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.827469
,2022-03-12,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.665945
,2022-03-13,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.593059
,2022-03-14,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.79512
,2022-03-15,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.777116
,2022-03-16,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.766649
,2022-03-17,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.636312
,2022-03-18,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.706631
,2022-03-19,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.6101179999999999
,2022-03-20,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.606472
,2022-03-21,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.815534
,2022-03-22,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.730714
,2022-03-23,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.855826
,2022-03-24,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.754678
,2022-03-25,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.727731
,2022-03-26,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.677714
,2022-03-27,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.570128
,2022-03-28,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.7948069999999999
,2022-03-29,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.724526
,2022-03-30,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.759499
,2022-03-31,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.7311840000000001
,2022-04-01,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.642104
,2022-04-02,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.543416
,2022-04-03,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.579332
,2022-04-04,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.763352
,2022-04-05,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.677144
,2022-04-06,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.609532
,2022-04-07,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.653905
,2022-04-08,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.7030810000000001
,2022-04-09,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.6573019999999999
,2022-04-10,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.626491
,2022-04-11,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.822581
,2022-04-12,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.836167
,2022-04-13,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.794672
,2022-04-14,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.872455
,2022-04-15,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.672573
,2022-04-16,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.645799
,2022-04-17,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.558852
,2022-04-18,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.7370530000000001
,2022-04-19,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.766786
,2022-04-20,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.822929
,2022-04-21,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.0244589999999999
,2022-04-22,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.666812
,2022-04-23,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.595521
,2022-04-24,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.609529
,2022-04-25,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.898726
,2022-04-26,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.966581
,2022-04-27,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.855455
,2022-04-28,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.795293
,2022-04-29,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.85585
,2022-04-30,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.731746
,2022-05-01,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.6235959999999999
,2022-05-02,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.948717
,2022-05-03,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.87075
,2022-05-04,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.777622
,2022-05-05,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.635123
,2022-05-06,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.774811
,2022-05-07,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.6894750000000001
,2022-05-08,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.609472
,2022-05-09,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.904501
,2022-05-10,38015.0,AEROPORTO DE SINOP,Consumidor Especial,SUDESTE,1.92,0.913528
