MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-08-01,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.312619
,2023-08-02,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.371895
,2023-08-03,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.34988
,2023-08-04,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.308286
,2023-08-05,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.212148
,2023-08-06,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.605941
,2023-08-07,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.388552
,2023-08-08,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.15411
,2023-08-09,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.127593
,2023-08-10,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.206442
,2023-08-11,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.303479
,2023-08-12,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.423587
,2023-08-13,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.494635
,2023-08-14,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.271358
,2023-08-15,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.267217
,2023-08-16,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.397395
,2023-08-17,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.325121
,2023-08-18,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.412315
,2023-08-19,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.467764
,2023-08-20,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.186528
,2023-08-21,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.333681
,2023-08-22,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.690682
,2023-08-23,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.736212
,2023-08-24,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.866589
,2023-08-25,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.670501
,2023-08-26,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.516317
,2023-08-27,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.837812
,2023-08-28,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.078074
,2023-08-29,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.283772
,2023-08-30,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.116207
,2023-08-31,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.351331
,2023-09-01,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.453539
,2023-09-02,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.497289
,2023-09-03,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.967797
,2023-09-04,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.30988
,2023-09-05,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.228402
,2023-09-06,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.360192
,2023-09-07,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.283695
,2023-09-08,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.375744
,2023-09-09,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.730356
,2023-09-10,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.271412
,2023-09-11,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.576044
,2023-09-12,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.610608
,2023-09-13,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.380489
,2023-09-14,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.427959
,2023-09-15,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.440061
,2023-09-16,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.433978
,2023-09-17,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.198679
,2023-09-18,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.325887
,2023-09-19,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.370485
,2023-09-20,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.456794
,2023-09-21,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.546471
,2023-09-22,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.489318
,2023-09-23,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.949149
,2023-09-24,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.98997
,2023-09-25,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.356661
,2023-09-26,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.668464
,2023-09-27,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.591118
,2023-09-28,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.480914
,2023-09-29,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.761344
,2023-09-30,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.822354
,2023-10-01,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.16762
,2023-10-02,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.10696
,2023-10-03,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.117863
,2023-10-04,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.357729
,2023-10-05,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.29458
,2023-10-06,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.572565
,2023-10-07,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.962853
,2023-10-08,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.239584
,2023-10-09,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.534286
,2023-10-10,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.426344
,2023-10-11,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.824839
,2023-10-12,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.446771
,2023-10-13,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.644746
,2023-10-14,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.854425
,2023-10-15,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.003137
,2023-10-16,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,3.123577
,2023-10-17,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.351239
,2023-10-18,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.605004
,2023-10-19,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.571767
,2023-10-20,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.962859
,2023-10-21,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.883426
,2023-10-22,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.534939
,2023-10-23,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.623456
,2023-10-24,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.677547
,2023-10-25,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.691911
,2023-10-26,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.67011
,2023-10-27,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.791889
,2023-10-28,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,5.010669
,2023-10-29,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.493133
,2023-10-30,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.623786
,2023-10-31,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.891309
,2023-11-01,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.702328
,2023-11-02,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,5.071676
,2023-11-03,54131.0,AHPA MATRIZ,Consumidor Livre,SUL,12.0,4.181068
