MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1366.342273
,2022-01-02,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1377.958119
,2022-01-03,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1520.548436
,2022-01-04,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1539.917488
,2022-01-05,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1509.969617
,2022-01-06,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1523.974388
,2022-01-07,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1568.206458
,2022-01-08,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1570.294348
,2022-01-09,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1424.989543
,2022-01-10,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1473.556444
,2022-01-11,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1518.46043
,2022-01-12,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1560.79825
,2022-01-13,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1544.143431
,2022-01-14,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1566.868299
,2022-01-15,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1570.756167
,2022-01-16,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1391.740631
,2022-01-17,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1436.712589
,2022-01-18,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1489.625883
,2022-01-19,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1492.97251
,2022-01-20,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1425.2188
,2022-01-21,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1494.660475
,2022-01-22,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1502.101432
,2022-01-23,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1337.4962
,2022-01-24,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1446.852447
,2022-01-25,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1477.5538
,2022-01-26,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1496.060357
,2022-01-27,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1476.972741
,2022-01-28,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1483.620925
,2022-01-29,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1547.565527
,2022-01-30,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1378.182127
,2022-01-31,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1475.862893
,2022-02-01,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1489.139175
,2022-02-02,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1499.143199
,2022-02-03,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1473.527737
,2022-02-04,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1524.097105
,2022-02-05,19475.0,AMBEV SA,Consumidor Livre,SUDESTE,2068.32,1544.301528
