MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.350926
,2022-01-02,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.357944
,2022-01-03,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.568752
,2022-01-04,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,15.221261
,2022-01-05,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.750857
,2022-01-06,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,15.435013
,2022-01-07,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,15.102022
,2022-01-08,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.6387700000000001
,2022-01-09,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.355244
,2022-01-10,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.946112
,2022-01-11,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.490442
,2022-01-12,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.450063
,2022-01-13,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.538826
,2022-01-14,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.393732
,2022-01-15,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.741602
,2022-01-16,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.379563
,2022-01-17,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.309588
,2022-01-18,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.619335
,2022-01-19,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.627771
,2022-01-20,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.364033
,2022-01-21,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.243206
,2022-01-22,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.391647
,2022-01-23,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.370002
,2022-01-24,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,1.780874
,2022-01-25,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,1.837261
,2022-01-26,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.206681
,2022-01-27,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.071854
,2022-01-28,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.46749
,2022-01-29,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.386181
,2022-01-30,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.358872
,2022-01-31,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,13.778736
,2022-02-01,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.153343
,2022-02-02,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.443206
,2022-02-03,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.755978
,2022-02-04,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,15.36212
,2022-02-05,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,2.218148
,2022-02-06,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.368255
,2022-02-07,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.755572
,2022-02-08,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,15.291682
,2022-02-09,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,15.230401
,2022-02-10,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.946919
,2022-02-11,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,13.925788
,2022-02-12,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,2.4694190000000003
,2022-02-13,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,0.358766
,2022-02-14,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.601973
,2022-02-15,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,14.659724
,2022-02-16,99717.0,ARTELY MOVEIS CL,Consumidor Livre,SUL,36.0,13.856455
