MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,72.447479
,2022-01-02,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,103.591162
,2022-01-03,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,117.431509
,2022-01-04,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,116.787218
,2022-01-05,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,119.003823
,2022-01-06,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,118.320403
,2022-01-07,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,120.741756
,2022-01-08,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,115.937154
,2022-01-09,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,107.625173
,2022-01-10,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,115.859436
,2022-01-11,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,118.941539
,2022-01-12,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,117.962066
,2022-01-13,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,118.549246
,2022-01-14,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,119.836276
,2022-01-15,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,116.517896
,2022-01-16,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,110.5561
,2022-01-17,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,118.496163
,2022-01-18,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,113.181547
,2022-01-19,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,116.865038
,2022-01-20,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,119.396694
,2022-01-21,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,121.491101
,2022-01-22,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,121.03019
,2022-01-23,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,111.322049
,2022-01-24,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,117.478326
,2022-01-25,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,117.670249
,2022-01-26,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,117.22448
,2022-01-27,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,109.441859
,2022-01-28,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,109.992367
,2022-01-29,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,111.213283
,2022-01-30,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,106.944631
,2022-01-31,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,117.14184
,2022-02-01,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,115.800256
,2022-02-02,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,119.965664
,2022-02-03,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,121.168149
,2022-02-04,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,121.215509
,2022-02-05,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,120.800707
,2022-02-06,91326.0,ASSAI NORTE,Consumidor Especial,NORTE,211.44,107.445612
