MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,3.619204
,2022-01-02,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,3.930421
,2022-01-03,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,11.777294
,2022-01-04,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.046462
,2022-01-05,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.4511
,2022-01-06,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.476298
,2022-01-07,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,14.933795
,2022-01-08,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,6.917084
,2022-01-09,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,5.238138
,2022-01-10,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,11.968324
,2022-01-11,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.881969
,2022-01-12,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.873118
,2022-01-13,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.557585
,2022-01-14,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,14.88948
,2022-01-15,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,11.991339
,2022-01-16,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,5.560166
,2022-01-17,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,12.216179
,2022-01-18,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.481379
,2022-01-19,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.575614
,2022-01-20,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.463037
,2022-01-21,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.135241
,2022-01-22,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,7.425082
,2022-01-23,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,4.801665
,2022-01-24,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,11.998768
,2022-01-25,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.758637
,2022-01-26,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.836612
,2022-01-27,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.475747
,2022-01-28,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.09634
,2022-01-29,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,7.478228
,2022-01-30,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,5.297852
,2022-01-31,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,13.087619
,2022-02-01,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,16.457478
,2022-02-02,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.965421
,2022-02-03,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,16.136086
,2022-02-04,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,15.27168
,2022-02-05,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,6.859909
,2022-02-06,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,5.407259
,2022-02-07,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,12.72777
,2022-02-08,88346.0,AVIGRAN,Consumidor Especial,NORDESTE,21.36,16.302119
