MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.036398
,2022-01-02,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.530247
,2022-01-03,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.761756
,2022-01-04,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.938643
,2022-01-05,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.149236
,2022-01-06,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.976123
,2022-01-07,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.267102
,2022-01-08,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.846
,2022-01-09,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.940252
,2022-01-10,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.993913
,2022-01-11,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.100672
,2022-01-12,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.765407
,2022-01-13,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.652093
,2022-01-14,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.95627
,2022-01-15,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.8633370000000005
,2022-01-16,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.679433
,2022-01-17,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.705473
,2022-01-18,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.433078
,2022-01-19,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.267733
,2022-01-20,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.752587
,2022-01-21,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.507958
,2022-01-22,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.196549
,2022-01-23,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.310808
,2022-01-24,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.060033
,2022-01-25,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.47676
,2022-01-26,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.224314
,2022-01-27,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.00894
,2022-01-28,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.49389
,2022-01-29,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.454217
,2022-01-30,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,12.92611
,2022-01-31,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,14.840914
,2022-02-01,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.537676
,2022-02-02,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.998157000000001
,2022-02-03,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.328196
,2022-02-04,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.681078
,2022-02-05,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.489286
,2022-02-06,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.233164
,2022-02-07,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.624201
,2022-02-08,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.539996
,2022-02-09,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.196817
,2022-02-10,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.805552
,2022-02-11,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.611282
,2022-02-12,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,16.671532
,2022-02-13,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,12.199204
,2022-02-14,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,12.696768
,2022-02-15,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,12.47127
,2022-02-16,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,16.029537
,2022-02-17,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.120072
,2022-02-18,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.270077
,2022-02-19,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.733572
,2022-02-20,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.361311
,2022-02-21,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.208858
,2022-02-22,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.11139
,2022-02-23,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.918417
,2022-02-24,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.647435
,2022-02-25,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.856107
,2022-02-26,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.247634
,2022-02-27,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.499084
,2022-02-28,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.132096
,2022-03-01,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.068805
,2022-03-02,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.492003
,2022-03-03,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.8238
,2022-03-04,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.465124
,2022-03-05,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.331989
,2022-03-06,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.079105
,2022-03-07,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.568004
,2022-03-08,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.323635
,2022-03-09,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.715829
,2022-03-10,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.405534
,2022-03-11,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.585014
,2022-03-12,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.3178
,2022-03-13,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.924466
,2022-03-14,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.425301
,2022-03-15,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.224196
,2022-03-16,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.641794
,2022-03-17,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.9632
,2022-03-18,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,12.350254
,2022-03-19,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.172866
,2022-03-20,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.753218
,2022-03-21,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.563021
,2022-03-22,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.79849
,2022-03-23,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.910413
,2022-03-24,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.383749
,2022-03-25,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.908251
,2022-03-26,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.1632240000000005
,2022-03-27,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.152766
,2022-03-28,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.376206
,2022-03-29,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.916699
,2022-03-30,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.279403
,2022-03-31,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.268826
,2022-04-01,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.392844
,2022-04-02,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.217863
,2022-04-03,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.170968
,2022-04-04,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.77354
,2022-04-05,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.764869
,2022-04-06,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.935675
,2022-04-07,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,10.377178
,2022-04-08,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.234156
,2022-04-09,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.966332
,2022-04-10,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.235635
,2022-04-11,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.559633
,2022-04-12,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.51077
,2022-04-13,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.380351
,2022-04-14,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.42429
,2022-04-15,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.160581
,2022-04-16,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.372047
,2022-04-17,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.751789
,2022-04-18,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.666855
,2022-04-19,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.762045
,2022-04-20,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.73015
,2022-04-21,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.118853
,2022-04-22,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.010116
,2022-04-23,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.965471
,2022-04-24,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,5.206434
,2022-04-25,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.599431
,2022-04-26,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.179458
,2022-04-27,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.13777
,2022-04-28,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.138438
,2022-04-29,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.988207
,2022-04-30,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.242856
,2022-05-01,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,8.463651
,2022-05-02,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,9.567825
,2022-05-03,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,7.095637
,2022-05-04,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.813028
,2022-05-05,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,6.01978
,2022-05-06,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.850543
,2022-05-07,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.221288
,2022-05-08,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.902722
,2022-05-09,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.917873
,2022-05-10,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.653331
,2022-05-11,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.866298
,2022-05-12,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.308885
,2022-05-13,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,4.021211
,2022-05-14,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.161111
,2022-05-15,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.1617610000000003
,2022-05-16,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.929067
,2022-05-17,32432.0,BOURBON FOZ CL 514 2022,Consumidor Livre,SUL,24.0,3.152822
