MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202503.0,2025-03-01,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.464655
202503.0,2025-03-01,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.464655
,2025-03-01,,BRIT ITATINGA CL,,,15.6,0.464655
202503.0,2025-03-02,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.078523
202503.0,2025-03-02,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.078523
,2025-03-02,,BRIT ITATINGA CL,,,15.6,0.078523
202503.0,2025-03-03,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.01537
202503.0,2025-03-03,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.01537
,2025-03-03,,BRIT ITATINGA CL,,,15.6,1.01537
202503.0,2025-03-04,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.133991
202503.0,2025-03-04,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.133991
,2025-03-04,,BRIT ITATINGA CL,,,15.6,1.133991
202503.0,2025-03-05,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.658579
202503.0,2025-03-05,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.658579
,2025-03-05,,BRIT ITATINGA CL,,,15.6,1.658579
202503.0,2025-03-06,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.83426
202503.0,2025-03-06,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.83426
,2025-03-06,,BRIT ITATINGA CL,,,15.6,1.83426
202503.0,2025-03-07,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.530119
202503.0,2025-03-07,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,1.530119
,2025-03-07,,BRIT ITATINGA CL,,,15.6,1.530119
202503.0,2025-03-08,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.592555
202503.0,2025-03-08,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.592555
,2025-03-08,,BRIT ITATINGA CL,,,15.6,0.592555
202503.0,2025-03-09,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.0792
202503.0,2025-03-09,176480.0,BRIT ITATINGA CL,Consumidor Livre,SUL,15.6,0.0792
,2025-03-09,,BRIT ITATINGA CL,,,15.6,0.0792
