MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202501.0,2025-01-01,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,4.918202
202501.0,2025-01-01,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,4.918202
,2025-01-01,,C CE BAHIANA,,,35.28,4.918202
202501.0,2025-01-02,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.733887
202501.0,2025-01-02,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.733887
,2025-01-02,,C CE BAHIANA,,,35.28,14.733887
202501.0,2025-01-03,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.333161
202501.0,2025-01-03,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.333161
,2025-01-03,,C CE BAHIANA,,,35.28,15.333161
202501.0,2025-01-04,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,12.321186
202501.0,2025-01-04,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,12.321186
,2025-01-04,,C CE BAHIANA,,,35.28,12.321186
202501.0,2025-01-05,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,5.82925
202501.0,2025-01-05,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,5.82925
,2025-01-05,,C CE BAHIANA,,,35.28,5.82925
202501.0,2025-01-06,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.108177
202501.0,2025-01-06,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.108177
,2025-01-06,,C CE BAHIANA,,,35.28,15.108177
202501.0,2025-01-07,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.267196
202501.0,2025-01-07,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.267196
,2025-01-07,,C CE BAHIANA,,,35.28,15.267196
202501.0,2025-01-08,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.817954
202501.0,2025-01-08,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.817954
,2025-01-08,,C CE BAHIANA,,,35.28,14.817954
202501.0,2025-01-09,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.727109
202501.0,2025-01-09,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.727109
,2025-01-09,,C CE BAHIANA,,,35.28,14.727109
202501.0,2025-01-10,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.047175
202501.0,2025-01-10,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,15.047175
,2025-01-10,,C CE BAHIANA,,,35.28,15.047175
202501.0,2025-01-11,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,11.750268
202501.0,2025-01-11,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,11.750268
,2025-01-11,,C CE BAHIANA,,,35.28,11.750268
202501.0,2025-01-12,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,5.562605
202501.0,2025-01-12,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,5.562605
,2025-01-12,,C CE BAHIANA,,,35.28,5.562605
202501.0,2025-01-13,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.561993
202501.0,2025-01-13,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.561993
,2025-01-13,,C CE BAHIANA,,,35.28,14.561993
202501.0,2025-01-14,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.047787
202501.0,2025-01-14,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.047787
,2025-01-14,,C CE BAHIANA,,,35.28,14.047787
202501.0,2025-01-15,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,13.79501
202501.0,2025-01-15,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,13.79501
,2025-01-15,,C CE BAHIANA,,,35.28,13.79501
202501.0,2025-01-16,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,13.982455
202501.0,2025-01-16,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,13.982455
,2025-01-16,,C CE BAHIANA,,,35.28,13.982455
202501.0,2025-01-17,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.538396
202501.0,2025-01-17,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,14.538396
,2025-01-17,,C CE BAHIANA,,,35.28,14.538396
202501.0,2025-01-18,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,11.783767
202501.0,2025-01-18,165468.0,C CE BAHIANA,Consumidor Especial,NORDESTE,35.28,11.783767
