MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,2.414569
,2022-01-02,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,2.443292
,2022-01-03,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,33.66358
,2022-01-04,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,42.230131
,2022-01-05,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,40.911526
,2022-01-06,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,39.636805
,2022-01-07,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,40.294776
,2022-01-08,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,39.726633
,2022-01-09,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,12.151855
,2022-01-10,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,32.312435
,2022-01-11,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,39.817978
,2022-01-12,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,41.406963
,2022-01-13,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,42.974663
,2022-01-14,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,43.882907
,2022-01-15,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,40.866306
,2022-01-16,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,12.402403
,2022-01-17,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,32.58999
,2022-01-18,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,41.638601
,2022-01-19,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,38.818854
,2022-01-20,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,40.086109
,2022-01-21,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,39.272837
,2022-01-22,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,39.656548
,2022-01-23,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,11.942369
,2022-01-24,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,34.071019
,2022-01-25,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,42.470368
,2022-01-26,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,41.927134
,2022-01-27,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,44.008877
,2022-01-28,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,40.903952
,2022-01-29,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,38.173193
,2022-01-30,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,12.39609
,2022-01-31,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,33.276468
,2022-02-01,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,39.733144
,2022-02-02,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,43.347972
,2022-02-03,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.482098
,2022-02-04,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,49.011253
,2022-02-05,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,49.036956
,2022-02-06,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,13.96287
,2022-02-07,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,37.684772
,2022-02-08,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,46.406874
,2022-02-09,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.665901
,2022-02-10,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,46.842547
,2022-02-11,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.836447
,2022-02-12,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.435483
,2022-02-13,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,13.529875
,2022-02-14,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,38.804576
,2022-02-15,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.644268
,2022-02-16,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.847944
,2022-02-17,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,50.551466
,2022-02-18,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.593016
,2022-02-19,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,44.982032
,2022-02-20,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,13.932155
,2022-02-21,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,38.485644
,2022-02-22,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.855656
,2022-02-23,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,49.807229
,2022-02-24,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,50.236039
,2022-02-25,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.377559
,2022-02-26,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,45.1312
,2022-02-27,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,13.734834
,2022-02-28,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,38.704399
,2022-03-01,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.217916
,2022-03-02,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.427971
,2022-03-03,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.906073
,2022-03-04,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,46.670637
,2022-03-05,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,45.247874
,2022-03-06,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,12.98149
,2022-03-07,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,39.180578
,2022-03-08,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,46.957303
,2022-03-09,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,45.376036
,2022-03-10,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,45.561295
,2022-03-11,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.144967
,2022-03-12,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,43.025546
,2022-03-13,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,12.984852
,2022-03-14,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,35.525153
,2022-03-15,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,46.978582
,2022-03-16,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.947873
,2022-03-17,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,51.512769
,2022-03-18,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,50.059612
,2022-03-19,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.553079
,2022-03-20,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,12.346952
,2022-03-21,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,36.354161
,2022-03-22,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,42.804712
,2022-03-23,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,43.822259
,2022-03-24,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,44.6654
,2022-03-25,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,46.264715
,2022-03-26,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,46.13669
,2022-03-27,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,12.970337
,2022-03-28,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,37.461758
,2022-03-29,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.942785
,2022-03-30,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,49.118653
,2022-03-31,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.346798
,2022-04-01,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,49.782419
,2022-04-02,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,47.454534
,2022-04-03,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,13.440158
,2022-04-04,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,37.976165
,2022-04-05,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.711703
,2022-04-06,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,50.900641
,2022-04-07,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,51.568213
,2022-04-08,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,53.670212
,2022-04-09,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,51.701072
,2022-04-10,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,14.336096
,2022-04-11,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,42.315365
,2022-04-12,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,53.595783
,2022-04-13,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,52.099096
,2022-04-14,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,51.638916
,2022-04-15,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,48.447191
,2022-04-16,85765.0,C CL PLASUTIL PLASTICOS 2,Consumidor Livre,SUDESTE,54.24,42.283517
