MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202501.0,2025-01-01,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,2.431048
202501.0,2025-01-01,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,2.431048
,2025-01-01,,CAAL INDUSTRIA,,,14.64,2.431048
202501.0,2025-01-02,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,6.28509
202501.0,2025-01-02,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,6.28509
,2025-01-02,,CAAL INDUSTRIA,,,14.64,6.28509
202501.0,2025-01-03,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.230389
202501.0,2025-01-03,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.230389
,2025-01-03,,CAAL INDUSTRIA,,,14.64,13.230389
202501.0,2025-01-04,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,11.733547
202501.0,2025-01-04,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,11.733547
,2025-01-04,,CAAL INDUSTRIA,,,14.64,11.733547
202501.0,2025-01-05,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,3.955384
202501.0,2025-01-05,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,3.955384
,2025-01-05,,CAAL INDUSTRIA,,,14.64,3.955384
202501.0,2025-01-06,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,17.039721
202501.0,2025-01-06,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,17.039721
,2025-01-06,,CAAL INDUSTRIA,,,14.64,17.039721
202501.0,2025-01-07,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.11945
202501.0,2025-01-07,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.11945
,2025-01-07,,CAAL INDUSTRIA,,,14.64,13.11945
202501.0,2025-01-08,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,8.586113
202501.0,2025-01-08,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,8.586113
,2025-01-08,,CAAL INDUSTRIA,,,14.64,8.586113
202501.0,2025-01-09,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.205237
202501.0,2025-01-09,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.205237
,2025-01-09,,CAAL INDUSTRIA,,,14.64,13.205237
202501.0,2025-01-10,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,19.014331
202501.0,2025-01-10,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,19.014331
,2025-01-10,,CAAL INDUSTRIA,,,14.64,19.014331
202501.0,2025-01-11,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,14.079247
202501.0,2025-01-11,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,14.079247
,2025-01-11,,CAAL INDUSTRIA,,,14.64,14.079247
202501.0,2025-01-12,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,4.287313
202501.0,2025-01-12,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,4.287313
,2025-01-12,,CAAL INDUSTRIA,,,14.64,4.287313
202501.0,2025-01-13,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,16.301344
202501.0,2025-01-13,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,16.301344
,2025-01-13,,CAAL INDUSTRIA,,,14.64,16.301344
202501.0,2025-01-14,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,11.898352
202501.0,2025-01-14,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,11.898352
,2025-01-14,,CAAL INDUSTRIA,,,14.64,11.898352
202501.0,2025-01-15,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,16.211731
202501.0,2025-01-15,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,16.211731
,2025-01-15,,CAAL INDUSTRIA,,,14.64,16.211731
202501.0,2025-01-16,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,23.065271
202501.0,2025-01-16,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,23.065271
,2025-01-16,,CAAL INDUSTRIA,,,14.64,23.065271
202501.0,2025-01-17,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,22.463951
202501.0,2025-01-17,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,22.463951
,2025-01-17,,CAAL INDUSTRIA,,,14.64,22.463951
202501.0,2025-01-18,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,14.560637
202501.0,2025-01-18,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,14.560637
,2025-01-18,,CAAL INDUSTRIA,,,14.64,14.560637
202501.0,2025-01-19,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,4.054422
202501.0,2025-01-19,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,4.054422
,2025-01-19,,CAAL INDUSTRIA,,,14.64,4.054422
202501.0,2025-01-20,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,19.689988
202501.0,2025-01-20,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,19.689988
,2025-01-20,,CAAL INDUSTRIA,,,14.64,19.689988
202501.0,2025-01-21,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,19.349428
202501.0,2025-01-21,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,19.349428
,2025-01-21,,CAAL INDUSTRIA,,,14.64,19.349428
202501.0,2025-01-22,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,16.791459
202501.0,2025-01-22,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,16.791459
,2025-01-22,,CAAL INDUSTRIA,,,14.64,16.791459
202501.0,2025-01-23,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,22.732755
202501.0,2025-01-23,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,22.732755
,2025-01-23,,CAAL INDUSTRIA,,,14.64,22.732755
202501.0,2025-01-24,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,17.8464
202501.0,2025-01-24,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,17.8464
,2025-01-24,,CAAL INDUSTRIA,,,14.64,17.8464
202501.0,2025-01-25,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.476167
202501.0,2025-01-25,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,13.476167
,2025-01-25,,CAAL INDUSTRIA,,,14.64,13.476167
202501.0,2025-01-26,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,4.899301
202501.0,2025-01-26,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,4.899301
,2025-01-26,,CAAL INDUSTRIA,,,14.64,4.899301
202501.0,2025-01-27,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000315
202501.0,2025-01-27,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000315
,2025-01-27,,CAAL INDUSTRIA,,,14.64,0.000315
202501.0,2025-01-28,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.0092679999999999
202501.0,2025-01-28,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.0092679999999999
,2025-01-28,,CAAL INDUSTRIA,,,14.64,0.0092679999999999
202501.0,2025-01-29,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.0013959999999999
202501.0,2025-01-29,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.0013959999999999
,2025-01-29,,CAAL INDUSTRIA,,,14.64,0.0013959999999999
202501.0,2025-01-30,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000896
202501.0,2025-01-30,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000896
,2025-01-30,,CAAL INDUSTRIA,,,14.64,0.000896
202501.0,2025-01-31,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.0
202501.0,2025-01-31,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.0
,2025-01-31,,CAAL INDUSTRIA,,,14.64,0.0
202502.0,2025-02-01,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000379
202502.0,2025-02-01,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000379
,2025-02-01,,CAAL INDUSTRIA,,,14.64,0.000379
202502.0,2025-02-02,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.37183
202502.0,2025-02-02,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.37183
,2025-02-02,,CAAL INDUSTRIA,,,14.64,0.37183
202502.0,2025-02-03,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000254
202502.0,2025-02-03,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000254
,2025-02-03,,CAAL INDUSTRIA,,,14.64,0.000254
202502.0,2025-02-04,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,5e-05
202502.0,2025-02-04,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,5e-05
,2025-02-04,,CAAL INDUSTRIA,,,14.64,5e-05
202502.0,2025-02-05,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.002755
202502.0,2025-02-05,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.002755
,2025-02-05,,CAAL INDUSTRIA,,,14.64,0.002755
202502.0,2025-02-06,80310.0,CAAL INDUSTRIA,Consumidor Especial,SUL,14.64,0.000578
