MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.282473
,2023-01-02,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.280676
,2023-01-03,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.283063
,2023-01-04,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.278376
,2023-01-05,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.282602
,2023-01-06,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.282981
,2023-01-07,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.281844
,2023-01-08,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,0.2436579999999999
,2023-01-09,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,4.739942
,2023-01-10,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.272282
,2023-01-11,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.993175
,2023-01-12,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.332063
,2023-01-13,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.456197
,2023-01-14,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.796948
,2023-01-15,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.220312
,2023-01-16,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.622896
,2023-01-17,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.115955
,2023-01-18,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.616235
,2023-01-19,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.06323
,2023-01-20,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.183816
,2023-01-21,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.807435
,2023-01-22,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.672175
,2023-01-23,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.72798
,2023-01-24,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.639397
,2023-01-25,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.907379
,2023-01-26,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.863478
,2023-01-27,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.662017
,2023-01-28,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.337677
,2023-01-29,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,5.984974
,2023-01-30,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.893307
,2023-01-31,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.088732
,2023-02-01,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.421031
,2023-02-02,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.996511
,2023-02-03,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.785409
,2023-02-04,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,7.196781
,2023-02-05,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,7.573219
,2023-02-06,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.296679
,2023-02-07,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.451964
,2023-02-08,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.909753
,2023-02-09,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.03805
,2023-02-10,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,10.159553
,2023-02-11,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.304922
,2023-02-12,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.188324
,2023-02-13,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,7.605741
,2023-02-14,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.500248
,2023-02-15,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,5.616813
,2023-02-16,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,5.255974
,2023-02-17,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.973437
,2023-02-18,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.569059
,2023-02-19,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,10.517144
,2023-02-20,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,7.986127
,2023-02-21,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.987485
,2023-02-22,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,6.851359
,2023-02-23,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.585867
,2023-02-24,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.477673
,2023-02-25,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.842362
,2023-02-26,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.255032
,2023-02-27,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.18479
,2023-02-28,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.957681000000001
,2023-03-01,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,7.991542
,2023-03-02,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,10.373286
,2023-03-03,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,7.674089
,2023-03-04,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,10.267122
,2023-03-05,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.461729
,2023-03-06,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.890559
,2023-03-07,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.514243
,2023-03-08,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.291844
,2023-03-09,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.540847
,2023-03-10,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.883981
,2023-03-11,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,7.470126
,2023-03-12,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,10.826263
,2023-03-13,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.08565
,2023-03-14,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.955231
,2023-03-15,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.865362000000001
,2023-03-16,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,10.254974
,2023-03-17,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.713466
,2023-03-18,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.352272
,2023-03-19,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.307605
,2023-03-20,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.898627
,2023-03-21,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,8.048546
,2023-03-22,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.395628
,2023-03-23,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.585825
,2023-03-24,48039.0,CALIMAN CL 514,Consumidor Livre,SUDESTE,16.44,9.922845
