MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-07-01,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.911737
,2023-07-02,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.701585
,2023-07-03,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.925652
,2023-07-04,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.892522
,2023-07-05,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.946636
,2023-07-06,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.854182
,2023-07-07,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.910488
,2023-07-08,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.943825
,2023-07-09,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.769224
,2023-07-10,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.97323
,2023-07-11,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.854847
,2023-07-12,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.837817
,2023-07-13,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.872058
,2023-07-14,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.961754
,2023-07-15,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.956479
,2023-07-16,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.699412
,2023-07-17,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.919476
,2023-07-18,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.839416
,2023-07-19,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.88224
,2023-07-20,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.831689
,2023-07-21,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.973115
,2023-07-22,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.818251
,2023-07-23,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.7630020000000001
,2023-07-24,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.999506
,2023-07-25,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.861655
,2023-07-26,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.8738940000000001
,2023-07-27,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.907795
,2023-07-28,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.960259
,2023-07-29,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.913068
,2023-07-30,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.7866420000000001
,2023-07-31,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.017539
,2023-08-01,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.897412
,2023-08-02,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.9453
,2023-08-03,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.909735
,2023-08-04,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.954202
,2023-08-05,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.900919
,2023-08-06,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.820876
,2023-08-07,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.009449
,2023-08-08,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.880036
,2023-08-09,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.902993
,2023-08-10,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.9002
,2023-08-11,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.965032
,2023-08-12,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.884176
,2023-08-13,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.801919
,2023-08-14,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.95073
,2023-08-15,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.804724
,2023-08-16,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.970189
,2023-08-17,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.857032
,2023-08-18,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.155642
,2023-08-19,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.850563
,2023-08-20,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.777531
,2023-08-21,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.943863
,2023-08-22,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.8899670000000001
,2023-08-23,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.897771
,2023-08-24,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.923994
,2023-08-25,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.92082
,2023-08-26,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.916344
,2023-08-27,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.893609
,2023-08-28,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.994064
,2023-08-29,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.889976
,2023-08-30,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.880509
,2023-08-31,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.021915
,2023-09-01,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.002919
,2023-09-02,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.960278
,2023-09-03,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.8371730000000001
,2023-09-04,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.07499
,2023-09-05,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.061395
,2023-09-06,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.109713
,2023-09-07,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.828549
,2023-09-08,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.948652
,2023-09-09,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.824609
,2023-09-10,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.817556
,2023-09-11,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.062985
,2023-09-12,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.935799
,2023-09-13,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.925514
,2023-09-14,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.017857
,2023-09-15,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.081496
,2023-09-16,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.914993
,2023-09-17,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.826202
,2023-09-18,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.002975
,2023-09-19,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.107246
,2023-09-20,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.011148
,2023-09-21,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.900896
,2023-09-22,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.980543
,2023-09-23,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.977559
,2023-09-24,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.826507
,2023-09-25,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.028376
,2023-09-26,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.963421
,2023-09-27,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.027884
,2023-09-28,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.982724
,2023-09-29,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.115961
,2023-09-30,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.968245
,2023-10-01,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.867615
,2023-10-02,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.06133
,2023-10-03,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.97257
,2023-10-04,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.959703
,2023-10-05,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.970385
,2023-10-06,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.022546
,2023-10-07,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.05426
,2023-10-08,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.069985
,2023-10-09,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.027684
,2023-10-10,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.856465
,2023-10-11,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.064323
,2023-10-12,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.000653
,2023-10-13,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,1.084408
,2023-10-14,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.994928
,2023-10-15,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.918957
,2023-10-16,108285.0,CEMOPEL CABO A,Consumidor Especial,NORDESTE,2.64,0.949693
