MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,3.024994
,2022-01-02,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,9.819276
,2022-01-03,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,13.053373
,2022-01-04,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,11.85963
,2022-01-05,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,11.313288
,2022-01-06,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,10.636915
,2022-01-07,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,9.77139
,2022-01-08,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,9.652406
,2022-01-09,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,6.4712700000000005
,2022-01-10,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,10.185271
,2022-01-11,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,10.909673
,2022-01-12,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,10.640428
,2022-01-13,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,11.934824
,2022-01-14,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,12.03211
,2022-01-15,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,12.317904
,2022-01-16,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,8.151335
,2022-01-17,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,12.287352
,2022-01-18,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,12.495401
,2022-01-19,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,12.710774
,2022-01-20,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,13.507246
,2022-01-21,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,12.907914
,2022-01-22,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,13.079135
,2022-01-23,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,8.430501
,2022-01-24,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,13.043093
,2022-01-25,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,13.036282
,2022-01-26,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,13.201732
,2022-01-27,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,11.891578
,2022-01-28,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,9.480185
,2022-01-29,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,9.009964
,2022-01-30,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,7.017652
,2022-01-31,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,29.76,10.553096
,2022-02-01,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.804111
,2022-02-02,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.574603
,2022-02-03,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,13.013342
,2022-02-04,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.25182
,2022-02-05,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,13.471925
,2022-02-06,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,8.476193
,2022-02-07,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.775245
,2022-02-08,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.558734
,2022-02-09,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.270035
,2022-02-10,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.530753
,2022-02-11,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.33502
,2022-02-12,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.204089
,2022-02-13,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,8.350149
,2022-02-14,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.464629
,2022-02-15,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.375629
,2022-02-16,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,11.043738
,2022-02-17,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,10.867273
,2022-02-18,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,10.341499
,2022-02-19,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,10.911168
,2022-02-20,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,8.55289
,2022-02-21,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.512001
,2022-02-22,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.770628
,2022-02-23,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.227732
,2022-02-24,27975.0,CENTAURO I5 S,Consumidor Especial,SUL,33.528,12.221138
