MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-05-01,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.223065
,2022-05-02,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.721437
,2022-05-03,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.580039
,2022-05-04,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,4.01495
,2022-05-05,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.908864
,2022-05-06,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.993522
,2022-05-07,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.232889
,2022-05-08,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.309958
,2022-05-09,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.8048040000000003
,2022-05-10,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.101423
,2022-05-11,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.184766
,2022-05-12,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.081695
,2022-05-13,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.897595
,2022-05-14,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.234324
,2022-05-15,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.234119
,2022-05-16,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.972203
,2022-05-17,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.007823
,2022-05-18,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.04493
,2022-05-19,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,1.946575
,2022-05-20,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.686713
,2022-05-21,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.290607
,2022-05-22,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.222112
,2022-05-23,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.691905
,2022-05-24,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.70126
,2022-05-25,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.688458
,2022-05-26,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.941967
,2022-05-27,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.6981070000000003
,2022-05-28,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.269217
,2022-05-29,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.221508
,2022-05-30,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.79155
,2022-05-31,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.82144
,2022-06-01,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.795605
,2022-06-02,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.658426
,2022-06-03,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.199669
,2022-06-04,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.222507
,2022-06-05,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.288269
,2022-06-06,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.717401
,2022-06-07,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.6630890000000003
,2022-06-08,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.857696
,2022-06-09,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.816997
,2022-06-10,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.219551
,2022-06-11,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.296611
,2022-06-12,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.223392
,2022-06-13,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.106232
,2022-06-14,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.413554
,2022-06-15,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.35964
,2022-06-16,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.22164
,2022-06-17,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.233103
,2022-06-18,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.280347
,2022-06-19,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.220573
,2022-06-20,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.028391
,2022-06-21,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.749087
,2022-06-22,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.439216
,2022-06-23,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.681682
,2022-06-24,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.685562
,2022-06-25,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.482815
,2022-06-26,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.22103
,2022-06-27,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,3.072932
,2022-06-28,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.880273
,2022-06-29,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.722945
,2022-06-30,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.822898
,2022-07-01,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,2.482232
,2022-07-02,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.221821
,2022-07-03,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.222143
,2022-07-04,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.678649
,2022-07-05,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.24932
,2022-07-06,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.23047
,2022-07-07,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.230059
,2022-07-08,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.238437
,2022-07-09,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.221864
,2022-07-10,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.22502
,2022-07-11,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.231952
,2022-07-12,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,1.627459
,2022-07-13,28899.0,CLIN OFF,Consumidor Especial,SUDESTE,14.4,0.232281
