MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,0.307178
,2023-01-02,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,0.608654
,2023-01-03,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,0.997984
,2023-01-04,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,7.294157
,2023-01-05,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.413765
,2023-01-06,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.186311
,2023-01-07,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,2.291462
,2023-01-08,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,1.162718
,2023-01-09,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,7.504206
,2023-01-10,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.70543
,2023-01-11,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.595663
,2023-01-12,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,7.984913
,2023-01-13,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,7.547352
,2023-01-14,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,2.200558
,2023-01-15,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,1.123871
,2023-01-16,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.124117
,2023-01-17,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.44452
,2023-01-18,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.110489
,2023-01-19,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.38666
,2023-01-20,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.790837999999999
,2023-01-21,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,4.311378
,2023-01-22,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,1.230289
,2023-01-23,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,7.484705
,2023-01-24,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.667089
,2023-01-25,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.006807
,2023-01-26,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.415273
,2023-01-27,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.133034
,2023-01-28,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,3.243068
,2023-01-29,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,1.065885
,2023-01-30,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,8.648056
,2023-01-31,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.551461
,2023-02-01,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.422544
,2023-02-02,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.323148
,2023-02-03,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.102696
,2023-02-04,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,2.490113
,2023-02-05,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,1.130182
,2023-02-06,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,7.674339
,2023-02-07,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.021341
,2023-02-08,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,9.43868
,2023-02-09,47536.0,COMPENSADOS NM CL 514,Consumidor Livre,SUL,12.0,10.479937
