MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-10-01,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,0.483157
,2023-10-02,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,0.928857
,2023-10-03,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.166762
,2023-10-04,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.37592
,2023-10-05,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.407936
,2023-10-06,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.521222
,2023-10-07,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.659571
,2023-10-08,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,0.5854509999999999
,2023-10-09,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.480771
,2023-10-10,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.800648
,2023-10-11,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.971959
,2023-10-12,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,2.010184
,2023-10-13,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.906519
,2023-10-14,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.381596
,2023-10-15,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.246725
,2023-10-16,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.495205
,2023-10-17,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.786573
,2023-10-18,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,1.611108
,2023-10-19,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,2.003257
,2023-10-20,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,2.000247
,2023-10-21,61495.0,CROMUS,Consumidor Especial,SUDESTE,12.0,2.007789
