MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.083273
,2022-01-02,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,3.998795
,2022-01-03,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.155757
,2022-01-04,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.329709
,2022-01-05,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.263095
,2022-01-06,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.240804
,2022-01-07,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.029933
,2022-01-08,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.428678
,2022-01-09,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.296044
,2022-01-10,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.07534
,2022-01-11,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.082421
,2022-01-12,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.172497
,2022-01-13,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.43562
,2022-01-14,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.264201
,2022-01-15,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,3.973225
,2022-01-16,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,3.5903650000000003
,2022-01-17,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.473378
,2022-01-18,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.523812
,2022-01-19,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.522672
,2022-01-20,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.382617
,2022-01-21,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,3.972443
,2022-01-22,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,2.952663
,2022-01-23,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,1.629752
,2022-01-24,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.991271
,2022-01-25,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.104749
,2022-01-26,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.543852
,2022-01-27,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,5.333128
,2022-01-28,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.755107
,2022-01-29,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,3.979821
,2022-01-30,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,3.609384
,2022-01-31,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.189198
,2022-02-01,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.485577
,2022-02-02,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.614271
,2022-02-03,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.901772
,2022-02-04,64114.0,CULTURA INGLESA,Consumidor Especial,SUDESTE,14.4,4.850532
