MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.479958
,2022-01-02,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.470582
,2022-01-03,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,10.714828
,2022-01-04,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,10.070177
,2022-01-05,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.57958
,2022-01-06,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.878923
,2022-01-07,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.857975
,2022-01-08,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,2.955629
,2022-01-09,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.439487
,2022-01-10,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.95477
,2022-01-11,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.69725
,2022-01-12,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.899796
,2022-01-13,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.462807
,2022-01-14,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.882502
,2022-01-15,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.957524
,2022-01-16,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.520487
,2022-01-17,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.914575
,2022-01-18,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,10.284531
,2022-01-19,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.351611
,2022-01-20,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.312043
,2022-01-21,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.3657
,2022-01-22,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.699344
,2022-01-23,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.610236
,2022-01-24,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.429167
,2022-01-25,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.580678
,2022-01-26,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.689895
,2022-01-27,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.255784
,2022-01-28,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.640056
,2022-01-29,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.511513
,2022-01-30,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.405397
,2022-01-31,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.411088
,2022-02-01,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.622194
,2022-02-02,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.696238
,2022-02-03,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.239209
,2022-02-04,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.642428
,2022-02-05,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.489107
,2022-02-06,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.39913
,2022-02-07,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.180329
,2022-02-08,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.376363
,2022-02-09,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.343357
,2022-02-10,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.838235
,2022-02-11,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.548162
,2022-02-12,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.705172
,2022-02-13,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.453237
,2022-02-14,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.202660999999999
,2022-02-15,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.686653
,2022-02-16,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.861706
,2022-02-17,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.105142
,2022-02-18,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.555363999999999
,2022-02-19,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.510363
,2022-02-20,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.451516
,2022-02-21,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,6.090061
,2022-02-22,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,6.154765
,2022-02-23,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,5.116199
,2022-02-24,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,5.889465
,2022-02-25,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,6.084248
,2022-02-26,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.606777
,2022-02-27,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.421659
,2022-02-28,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,6.460756
,2022-03-01,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,6.44507
,2022-03-02,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.04491
,2022-03-03,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.239756
,2022-03-04,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.425303
,2022-03-05,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.548958
,2022-03-06,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.545022
,2022-03-07,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.011553
,2022-03-08,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.322582
,2022-03-09,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.644562
,2022-03-10,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.02052
,2022-03-11,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,10.057591
,2022-03-12,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.918288
,2022-03-13,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.471452
,2022-03-14,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.955686
,2022-03-15,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.953766
,2022-03-16,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,9.711432
,2022-03-17,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.604077
,2022-03-18,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.832695
,2022-03-19,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,1.110037
,2022-03-20,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.507657
,2022-03-21,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.180873
,2022-03-22,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.316944
,2022-03-23,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.211752
,2022-03-24,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,7.833741
,2022-03-25,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,8.481689
,2022-03-26,86010.0,DALLEMOLE,Consumidor Especial,SUL,18.72,0.8207639999999999
