MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,3.592442
,2022-01-02,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,7.759561
,2022-01-03,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,82.022051
,2022-01-04,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,84.801117
,2022-01-05,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,118.735284
,2022-01-06,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,121.690734
,2022-01-07,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,121.204036
,2022-01-08,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,61.345505
,2022-01-09,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,10.463262
,2022-01-10,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,118.275139
,2022-01-11,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,124.582557
,2022-01-12,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,123.097794
,2022-01-13,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,122.163131
,2022-01-14,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,120.888402
,2022-01-15,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,62.683927
,2022-01-16,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,12.355055
,2022-01-17,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,115.658401
,2022-01-18,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,117.56891
,2022-01-19,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,118.014769
,2022-01-20,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,118.145446
,2022-01-21,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,118.302725
,2022-01-22,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,60.903152
,2022-01-23,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,11.259678
,2022-01-24,85584.0,DASS CALCADOS CL,Consumidor Livre,NORDESTE,156.96,111.788737
