MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,9.691679
,2022-01-02,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.754304
,2022-01-03,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.554764
,2022-01-04,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,16.619898
,2022-01-05,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,16.204013
,2022-01-06,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,16.768842
,2022-01-07,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.68393
,2022-01-08,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.339399
,2022-01-09,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,11.531005
,2022-01-10,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.12206
,2022-01-11,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.429901
,2022-01-12,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.198191
,2022-01-13,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.356313
,2022-01-14,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.356467
,2022-01-15,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.025864
,2022-01-16,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.933631
,2022-01-17,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.149661
,2022-01-18,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.691523
,2022-01-19,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.20406
,2022-01-20,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.950505
,2022-01-21,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.335869
,2022-01-22,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.291696
,2022-01-23,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,12.994671
,2022-01-24,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.103442
,2022-01-25,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.835399
,2022-01-26,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.27995
,2022-01-27,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.471696
,2022-01-28,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.094698
,2022-01-29,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.179188
,2022-01-30,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,11.477964
,2022-01-31,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.689857
,2022-02-01,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.436065
,2022-02-02,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.451065
,2022-02-03,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.169043
,2022-02-04,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.392783
,2022-02-05,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,15.30131
,2022-02-06,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.179105
,2022-02-07,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,14.248445
,2022-02-08,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,13.00509
,2022-02-09,99020.0,DIX CL 514,Consumidor Livre,SUDESTE,36.0,12.121457
