MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202408.0,2024-08-01,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,14.239163
202408.0,2024-08-01,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,14.239163
,2024-08-01,,DOM - ESPECIAL,,,27.72,14.239163
202408.0,2024-08-02,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,15.936598
202408.0,2024-08-02,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,15.936598
,2024-08-02,,DOM - ESPECIAL,,,27.72,15.936598
202408.0,2024-08-03,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,15.097703
202408.0,2024-08-03,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,15.097703
,2024-08-03,,DOM - ESPECIAL,,,27.72,15.097703
202408.0,2024-08-04,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,14.326948
202408.0,2024-08-04,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,14.326948
,2024-08-04,,DOM - ESPECIAL,,,27.72,14.326948
202408.0,2024-08-05,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.637251
202408.0,2024-08-05,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.637251
,2024-08-05,,DOM - ESPECIAL,,,27.72,16.637251
202408.0,2024-08-06,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.468867
202408.0,2024-08-06,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.468867
,2024-08-06,,DOM - ESPECIAL,,,27.72,16.468867
202408.0,2024-08-07,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.419222
202408.0,2024-08-07,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.419222
,2024-08-07,,DOM - ESPECIAL,,,27.72,16.419222
202408.0,2024-08-08,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,15.879277
202408.0,2024-08-08,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,15.879277
,2024-08-08,,DOM - ESPECIAL,,,27.72,15.879277
202408.0,2024-08-09,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.120482
202408.0,2024-08-09,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,16.120482
,2024-08-09,,DOM - ESPECIAL,,,27.72,16.120482
202408.0,2024-08-10,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,14.1296
202408.0,2024-08-10,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,14.1296
,2024-08-10,,DOM - ESPECIAL,,,27.72,14.1296
202408.0,2024-08-11,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,10.152362
202408.0,2024-08-11,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,10.152362
,2024-08-11,,DOM - ESPECIAL,,,27.72,10.152362
202408.0,2024-08-12,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,11.73558
202408.0,2024-08-12,96062.0,DOM - ESPECIAL,Consumidor Especial,SUDESTE,27.72,11.73558
,2024-08-12,,DOM - ESPECIAL,,,27.72,11.73558
