MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-08-01,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.960753
,2023-08-02,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.339269
,2023-08-03,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.706006
,2023-08-04,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.014342
,2023-08-05,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.753434
,2023-08-06,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.648379
,2023-08-07,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.989712
,2023-08-08,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.173555
,2023-08-09,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.97786
,2023-08-10,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.286085
,2023-08-11,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.090521
,2023-08-12,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.07032
,2023-08-13,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.587441
,2023-08-14,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.533189
,2023-08-15,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.978034
,2023-08-16,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.209916
,2023-08-17,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.765612
,2023-08-18,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.19851
,2023-08-19,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.135187
,2023-08-20,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.689844
,2023-08-21,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.935432
,2023-08-22,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.801528
,2023-08-23,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.120116
,2023-08-24,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.394858
,2023-08-25,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.006078
,2023-08-26,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.850732
,2023-08-27,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.401781
,2023-08-28,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.394201
,2023-08-29,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.508667
,2023-08-30,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.905116
,2023-08-31,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.849346
,2023-09-01,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.597233
,2023-09-02,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.7765260000000005
,2023-09-03,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.802754
,2023-09-04,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.71814
,2023-09-05,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.734975
,2023-09-06,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.412151
,2023-09-07,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.254508
,2023-09-08,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.024229
,2023-09-09,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.813166
,2023-09-10,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.645157
,2023-09-11,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.870608
,2023-09-12,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.08351
,2023-09-13,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.329025
,2023-09-14,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.824773
,2023-09-15,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.555673
,2023-09-16,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.724881
,2023-09-17,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.734786
,2023-09-18,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,11.076779
,2023-09-19,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,11.292535
,2023-09-20,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.727295
,2023-09-21,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.688219
,2023-09-22,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.341447
,2023-09-23,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.296548
,2023-09-24,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.961472
,2023-09-25,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,11.804365
,2023-09-26,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,11.897038
,2023-09-27,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,11.886476
,2023-09-28,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.474712
,2023-09-29,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.065586
,2023-09-30,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.9676
,2023-10-01,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.713354
,2023-10-02,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.613081
,2023-10-03,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.630825
,2023-10-04,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.203737
,2023-10-05,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.264101
,2023-10-06,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.53583
,2023-10-07,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.295595
,2023-10-08,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.007782
,2023-10-09,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.402458
,2023-10-10,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.797018
,2023-10-11,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.494431
,2023-10-12,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.612115
,2023-10-13,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.255658
,2023-10-14,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.578636
,2023-10-15,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.409419
,2023-10-16,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.227702
,2023-10-17,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.055215
,2023-10-18,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.620861
,2023-10-19,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.510339
,2023-10-20,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.905585
,2023-10-21,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.813343
,2023-10-22,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.630808
,2023-10-23,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.070493
,2023-10-24,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.817155
,2023-10-25,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.955406
,2023-10-26,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.838653
,2023-10-27,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.539324
,2023-10-28,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.107991
,2023-10-29,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.143437
,2023-10-30,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,11.18738
,2023-10-31,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,11.161773
,2023-11-01,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.055961
,2023-11-02,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.767802
,2023-11-03,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,8.711125
,2023-11-04,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.895529
,2023-11-05,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,4.649089
,2023-11-06,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.790466
,2023-11-07,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,9.98231
,2023-11-08,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.447782
,2023-11-09,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.674421
,2023-11-10,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,10.341503
,2023-11-11,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.125565
,2023-11-12,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.615319
,2023-11-13,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,12.346587
,2023-11-14,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,12.705445
,2023-11-15,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,7.183294
,2023-11-16,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,12.918529
,2023-11-17,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,12.518764
,2023-11-18,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,6.3470830000000005
,2023-11-19,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,5.878819
,2023-11-20,56791.0,ED VERA CRUZ II,Consumidor Livre,SUDESTE,20.4,7.38192
