MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,5.543245
,2022-01-02,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,5.528716
,2022-01-03,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.075699
,2022-01-04,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.607104
,2022-01-05,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,12.862763
,2022-01-06,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.270444
,2022-01-07,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.045957
,2022-01-08,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,5.934547
,2022-01-09,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,5.58094
,2022-01-10,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,12.260263
,2022-01-11,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.074977
,2022-01-12,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.269097
,2022-01-13,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.124949
,2022-01-14,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,12.782264
,2022-01-15,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,6.283093
,2022-01-16,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,6.113185
,2022-01-17,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,14.359735
,2022-01-18,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,14.600306
,2022-01-19,86803.0,EDIFICIO BOTAFOGO CL,Consumidor Livre,SUDESTE,31.92,13.958056
