MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,708.152508
,2022-01-02,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,706.421506
,2022-01-03,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,711.618604
,2022-01-04,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,714.644278
,2022-01-05,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,702.890013
,2022-01-06,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,704.241106
,2022-01-07,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,724.478057
,2022-01-08,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,722.41036
,2022-01-09,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,539.484366
,2022-01-10,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,276.295824
,2022-01-11,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,91.007458
,2022-01-12,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,55.679279
,2022-01-13,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,44.169345
,2022-01-14,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,35.996283
,2022-01-15,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,34.700272
,2022-01-16,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,34.198659
,2022-01-17,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,37.567069
,2022-01-18,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,42.26284
,2022-01-19,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,42.164763
,2022-01-20,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,44.871821
,2022-01-21,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,59.037805
,2022-01-22,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,115.7943
,2022-01-23,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,128.342076
,2022-01-24,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,138.55979299999998
,2022-01-25,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,317.140667
,2022-01-26,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,437.786172
,2022-01-27,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,638.951195
,2022-01-28,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,667.72843
,2022-01-29,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,656.003682
,2022-01-30,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,654.642651
,2022-01-31,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,666.451847
,2022-02-01,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,343.106919
,2022-02-02,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,397.513471
,2022-02-03,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,535.195803
,2022-02-04,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,644.901402
,2022-02-05,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,683.445132
,2022-02-06,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,671.942096
,2022-02-07,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,640.747463
,2022-02-08,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,648.5334330000001
,2022-02-09,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,656.718582
,2022-02-10,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,669.541746
,2022-02-11,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,671.157615
,2022-02-12,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,673.356681
,2022-02-13,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,672.293548
,2022-02-14,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,647.310371
,2022-02-15,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,660.242198
,2022-02-16,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,659.261123
,2022-02-17,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,499.188864
,2022-02-18,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,595.004687
,2022-02-19,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,663.425471
,2022-02-20,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,709.600594
,2022-02-21,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,709.594924
,2022-02-22,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,701.315747
,2022-02-23,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,712.52303
,2022-02-24,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,709.855011
,2022-02-25,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,709.916541
,2022-02-26,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,709.706629
,2022-02-27,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,702.597254
,2022-02-28,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,704.655206
,2022-03-01,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,684.413091
,2022-03-02,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,707.527778
,2022-03-03,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,514.144931
,2022-03-04,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,501.753222
,2022-03-05,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,686.929765
,2022-03-06,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,706.659945
,2022-03-07,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,706.263839
,2022-03-08,24668.0,FAFEN SE,Consumidor Livre,NORDESTE,744.0,704.780921
