MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202412.0,2024-12-01,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,28.786992
202412.0,2024-12-01,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,28.786992
,2024-12-01,,FORTUNCERES MINEIROS,,,100.8,28.786992
202412.0,2024-12-02,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,46.503477
202412.0,2024-12-02,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,46.503477
,2024-12-02,,FORTUNCERES MINEIROS,,,100.8,46.503477
202412.0,2024-12-03,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,43.205894
202412.0,2024-12-03,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,43.205894
,2024-12-03,,FORTUNCERES MINEIROS,,,100.8,43.205894
202412.0,2024-12-04,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,44.208982
202412.0,2024-12-04,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,44.208982
,2024-12-04,,FORTUNCERES MINEIROS,,,100.8,44.208982
202412.0,2024-12-05,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,47.818817
202412.0,2024-12-05,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,47.818817
,2024-12-05,,FORTUNCERES MINEIROS,,,100.8,47.818817
202412.0,2024-12-06,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,34.70085
202412.0,2024-12-06,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,34.70085
,2024-12-06,,FORTUNCERES MINEIROS,,,100.8,34.70085
202412.0,2024-12-07,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,23.835953
202412.0,2024-12-07,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,23.835953
,2024-12-07,,FORTUNCERES MINEIROS,,,100.8,23.835953
202412.0,2024-12-08,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,14.32301
202412.0,2024-12-08,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,14.32301
,2024-12-08,,FORTUNCERES MINEIROS,,,100.8,14.32301
202412.0,2024-12-09,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,18.124393
202412.0,2024-12-09,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,18.124393
,2024-12-09,,FORTUNCERES MINEIROS,,,100.8,18.124393
202412.0,2024-12-10,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,16.987496
202412.0,2024-12-10,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,16.987496
,2024-12-10,,FORTUNCERES MINEIROS,,,100.8,16.987496
202412.0,2024-12-11,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,20.557698
202412.0,2024-12-11,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,20.557698
,2024-12-11,,FORTUNCERES MINEIROS,,,100.8,20.557698
202412.0,2024-12-12,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,18.913258
202412.0,2024-12-12,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,18.913258
,2024-12-12,,FORTUNCERES MINEIROS,,,100.8,18.913258
202412.0,2024-12-13,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,19.738867
202412.0,2024-12-13,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,19.738867
,2024-12-13,,FORTUNCERES MINEIROS,,,100.8,19.738867
202412.0,2024-12-14,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,14.96454
202412.0,2024-12-14,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,14.96454
,2024-12-14,,FORTUNCERES MINEIROS,,,100.8,14.96454
202412.0,2024-12-15,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,13.432962
202412.0,2024-12-15,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,13.432962
,2024-12-15,,FORTUNCERES MINEIROS,,,100.8,13.432962
202412.0,2024-12-16,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,16.228363
202412.0,2024-12-16,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,16.228363
,2024-12-16,,FORTUNCERES MINEIROS,,,100.8,16.228363
202412.0,2024-12-17,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,14.502452
202412.0,2024-12-17,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,14.502452
,2024-12-17,,FORTUNCERES MINEIROS,,,100.8,14.502452
202412.0,2024-12-18,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,12.858756
202412.0,2024-12-18,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,12.858756
,2024-12-18,,FORTUNCERES MINEIROS,,,100.8,12.858756
202412.0,2024-12-19,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,13.398192
202412.0,2024-12-19,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,13.398192
,2024-12-19,,FORTUNCERES MINEIROS,,,100.8,13.398192
202412.0,2024-12-20,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,13.095676
202412.0,2024-12-20,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,13.095676
,2024-12-20,,FORTUNCERES MINEIROS,,,100.8,13.095676
202412.0,2024-12-21,163013.0,FORTUNCERES MINEIROS,Consumidor Livre,SUDESTE,100.8,9.835004
