MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.40715
,2023-01-02,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.254375
,2023-01-03,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.122748
,2023-01-04,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.410732
,2023-01-05,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.585658
,2023-01-06,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.013108
,2023-01-07,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.029583
,2023-01-08,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.000403
,2023-01-09,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.698717
,2023-01-10,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.4545
,2023-01-11,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.911125
,2023-01-12,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.73882
,2023-01-13,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.989075
,2023-01-14,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.452209
,2023-01-15,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.252457
,2023-01-16,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.211012
,2023-01-17,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.802069
,2023-01-18,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.507677
,2023-01-19,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.020507
,2023-01-20,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.144798
,2023-01-21,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.839456
,2023-01-22,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.785493
,2023-01-23,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.803544
,2023-01-24,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.78193
,2023-01-25,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.130238
,2023-01-26,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.979688
,2023-01-27,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.633044
,2023-01-28,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.395577
,2023-01-29,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.997635
,2023-01-30,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.844224
,2023-01-31,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.421456
,2023-02-01,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.433372
,2023-02-02,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.855929
,2023-02-03,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.281988
,2023-02-04,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.209869
,2023-02-05,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.151446
,2023-02-06,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.646265
,2023-02-07,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.14481
,2023-02-08,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.869433
,2023-02-09,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.010152
,2023-02-10,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.305463
,2023-02-11,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.765262
,2023-02-12,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.189242
,2023-02-13,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.196367
,2023-02-14,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.801591
,2023-02-15,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.738266
,2023-02-16,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.874126
,2023-02-17,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.965362
,2023-02-18,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.944363
,2023-02-19,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.155799
,2023-02-20,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.154867
,2023-02-21,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.121366
,2023-02-22,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.043673
,2023-02-23,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.033713
,2023-02-24,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.640338
,2023-02-25,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.149513
,2023-02-26,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.734042
,2023-02-27,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.553382
,2023-02-28,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.351044
,2023-03-01,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.092630999999999
,2023-03-02,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.428073
,2023-03-03,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.468661
,2023-03-04,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.695538
,2023-03-05,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.305342
,2023-03-06,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.437445
,2023-03-07,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.098283
,2023-03-08,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.504194
,2023-03-09,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.537057
,2023-03-10,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.111285
,2023-03-11,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,11.212285
,2023-03-12,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.875217
,2023-03-13,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.837317
,2023-03-14,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.041579
,2023-03-15,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.869748
,2023-03-16,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.200906
,2023-03-17,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.88344
,2023-03-18,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.79329
,2023-03-19,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.724796
,2023-03-20,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.310894
,2023-03-21,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.81071
,2023-03-22,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.564768
,2023-03-23,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.696285
,2023-03-24,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.934028
,2023-03-25,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,10.248181
,2023-03-26,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.606324
,2023-03-27,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.772172
,2023-03-28,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.027675
,2023-03-29,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.554993
,2023-03-30,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.640651
,2023-03-31,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.165816
,2023-04-01,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.976167
,2023-04-02,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.319975
,2023-04-03,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.396875
,2023-04-04,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.989035
,2023-04-05,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.965932
,2023-04-06,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.528697
,2023-04-07,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.20995
,2023-04-08,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.411721
,2023-04-09,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.390521
,2023-04-10,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.974402
,2023-04-11,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.749601
,2023-04-12,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.583425
,2023-04-13,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.942663
,2023-04-14,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.869954
,2023-04-15,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.953891
,2023-04-16,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.939203
,2023-04-17,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.302346
,2023-04-18,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.871609
,2023-04-19,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.653749
,2023-04-20,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.643693
,2023-04-21,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.579227
,2023-04-22,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.955274
,2023-04-23,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.402806
,2023-04-24,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.51359
,2023-04-25,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.712478
,2023-04-26,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.636118
,2023-04-27,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.790582
,2023-04-28,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.614712
,2023-04-29,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.433882
,2023-04-30,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.818571
,2023-05-01,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.764283
,2023-05-02,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.855204
,2023-05-03,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.03179
,2023-05-04,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.387662
,2023-05-05,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.811356
,2023-05-06,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.043298
,2023-05-07,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.538302
,2023-05-08,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.007804
,2023-05-09,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.107015
,2023-05-10,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.871377
,2023-05-11,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.82417
,2023-05-12,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.506941
,2023-05-13,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.527309
,2023-05-14,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.508636
,2023-05-15,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.147916
,2023-05-16,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.18445
,2023-05-17,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.618743
,2023-05-18,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.607731
,2023-05-19,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.605636
,2023-05-20,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.949843
,2023-05-21,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.487428
,2023-05-22,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.445286
,2023-05-23,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.720345
,2023-05-24,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,9.134343
,2023-05-25,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.384626
,2023-05-26,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.728045
,2023-05-27,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.003569
,2023-05-28,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.501913
,2023-05-29,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.620433
,2023-05-30,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.807271
,2023-05-31,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.962211
,2023-06-01,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.036932
,2023-06-02,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.234427
,2023-06-03,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.993647
,2023-06-04,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.152314
,2023-06-05,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.763943
,2023-06-06,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.382262
,2023-06-07,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.403266
,2023-06-08,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.595288
,2023-06-09,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.214166
,2023-06-10,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.925899
,2023-06-11,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.433246
,2023-06-12,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.374984
,2023-06-13,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.840348
,2023-06-14,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.730078
,2023-06-15,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.987186000000001
,2023-06-16,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.683226
,2023-06-17,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.13873
,2023-06-18,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.316733
,2023-06-19,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.714048
,2023-06-20,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.69999
,2023-06-21,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,6.851237
,2023-06-22,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.360116
,2023-06-23,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.219985
,2023-06-24,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.95384
,2023-06-25,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.278602
,2023-06-26,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.071058
,2023-06-27,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.581776
,2023-06-28,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.863833
,2023-06-29,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.556642
,2023-06-30,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,8.600715
,2023-07-01,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.722143
,2023-07-02,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.167285
,2023-07-03,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.624752
,2023-07-04,48499.0,FRIGO COPA CL 514,Consumidor Livre,SUDESTE,12.0,7.133265
