MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,1.745846
,2023-01-02,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,6.32128
,2023-01-03,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.158237
,2023-01-04,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.0557
,2023-01-05,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.386254
,2023-01-06,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.552045
,2023-01-07,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,4.714958
,2023-01-08,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,1.420282
,2023-01-09,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,6.726227
,2023-01-10,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.643567
,2023-01-11,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.280589
,2023-01-12,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.955161
,2023-01-13,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.066718
,2023-01-14,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,5.135927
,2023-01-15,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,1.979581
,2023-01-16,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.153112
,2023-01-17,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.865161
,2023-01-18,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.192295
,2023-01-19,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.935942
,2023-01-20,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.205804
,2023-01-21,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,5.771256
,2023-01-22,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,2.297994
,2023-01-23,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,6.896796
,2023-01-24,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.713321
,2023-01-25,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.793554
,2023-01-26,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.483503
,2023-01-27,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.855781
,2023-01-28,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,5.697752
,2023-01-29,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,1.749246
,2023-01-30,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,6.262391
,2023-01-31,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.800126
,2023-02-01,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.827026999999999
,2023-02-02,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.415599
,2023-02-03,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.446202
,2023-02-04,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,6.010798
,2023-02-05,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,2.168691
,2023-02-06,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,6.688478
,2023-02-07,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.629233
,2023-02-08,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.805328
,2023-02-09,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.184473
,2023-02-10,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,8.33234
,2023-02-11,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,5.714359
,2023-02-12,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,1.706201
,2023-02-13,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.186882
,2023-02-14,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.586782
,2023-02-15,50891.0,FUGA COUROS JALES I CL,Consumidor Livre,SUDESTE,15.6,7.364511
