MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202405.0,2024-05-01,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,3.772394
202405.0,2024-05-01,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,3.772394
,2024-05-01,,GERALDO PAIVA,,,12.0,3.772394
202405.0,2024-05-02,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.107248
202405.0,2024-05-02,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.107248
,2024-05-02,,GERALDO PAIVA,,,12.0,6.107248
202405.0,2024-05-03,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.616822
202405.0,2024-05-03,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.616822
,2024-05-03,,GERALDO PAIVA,,,12.0,6.616822
202405.0,2024-05-04,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.667329
202405.0,2024-05-04,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.667329
,2024-05-04,,GERALDO PAIVA,,,12.0,6.667329
202405.0,2024-05-05,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.850976
202405.0,2024-05-05,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.850976
,2024-05-05,,GERALDO PAIVA,,,12.0,5.850976
202405.0,2024-05-06,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.118729
202405.0,2024-05-06,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.118729
,2024-05-06,,GERALDO PAIVA,,,12.0,6.118729
202405.0,2024-05-07,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.815544
202405.0,2024-05-07,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.815544
,2024-05-07,,GERALDO PAIVA,,,12.0,5.815544
202405.0,2024-05-08,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.010648
202405.0,2024-05-08,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.010648
,2024-05-08,,GERALDO PAIVA,,,12.0,6.010648
202405.0,2024-05-09,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.998613
202405.0,2024-05-09,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.998613
,2024-05-09,,GERALDO PAIVA,,,12.0,5.998613
202405.0,2024-05-10,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.028494
202405.0,2024-05-10,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.028494
,2024-05-10,,GERALDO PAIVA,,,12.0,6.028494
202405.0,2024-05-11,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.753233
202405.0,2024-05-11,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.753233
,2024-05-11,,GERALDO PAIVA,,,12.0,6.753233
202405.0,2024-05-12,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.062864
202405.0,2024-05-12,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.062864
,2024-05-12,,GERALDO PAIVA,,,12.0,6.062864
202405.0,2024-05-13,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.485888
202405.0,2024-05-13,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.485888
,2024-05-13,,GERALDO PAIVA,,,12.0,6.485888
202405.0,2024-05-14,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.898505
202405.0,2024-05-14,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.898505
,2024-05-14,,GERALDO PAIVA,,,12.0,5.898505
202405.0,2024-05-15,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.113523
202405.0,2024-05-15,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.113523
,2024-05-15,,GERALDO PAIVA,,,12.0,6.113523
202405.0,2024-05-16,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.920014
202405.0,2024-05-16,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.920014
,2024-05-16,,GERALDO PAIVA,,,12.0,5.920014
202405.0,2024-05-17,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.197548
202405.0,2024-05-17,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.197548
,2024-05-17,,GERALDO PAIVA,,,12.0,5.197548
202405.0,2024-05-18,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.252471
202405.0,2024-05-18,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,6.252471
,2024-05-18,,GERALDO PAIVA,,,12.0,6.252471
202405.0,2024-05-19,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.426509
202405.0,2024-05-19,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.426509
,2024-05-19,,GERALDO PAIVA,,,12.0,5.426509
202405.0,2024-05-20,129658.0,GERALDO PAIVA,Consumidor Especial,NORDESTE,12.0,5.620357
