MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,59059.0,GOBBA,Consumidor Especial,SUL,48.36,3.07015
,2022-01-02,59059.0,GOBBA,Consumidor Especial,SUL,48.36,4.436145
,2022-01-03,59059.0,GOBBA,Consumidor Especial,SUL,48.36,29.111561
,2022-01-04,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.109908
,2022-01-05,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.040813
,2022-01-06,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.687791
,2022-01-07,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.477302
,2022-01-08,59059.0,GOBBA,Consumidor Especial,SUL,48.36,5.716577
,2022-01-09,59059.0,GOBBA,Consumidor Especial,SUL,48.36,4.772653
,2022-01-10,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.497341
,2022-01-11,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.299663
,2022-01-12,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.56363
,2022-01-13,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.143516
,2022-01-14,59059.0,GOBBA,Consumidor Especial,SUL,48.36,30.240815
,2022-01-15,59059.0,GOBBA,Consumidor Especial,SUL,48.36,6.243662
,2022-01-16,59059.0,GOBBA,Consumidor Especial,SUL,48.36,5.483846
,2022-01-17,59059.0,GOBBA,Consumidor Especial,SUL,48.36,26.878094
,2022-01-18,59059.0,GOBBA,Consumidor Especial,SUL,48.36,27.099004
,2022-01-19,59059.0,GOBBA,Consumidor Especial,SUL,48.36,29.891123
,2022-01-20,59059.0,GOBBA,Consumidor Especial,SUL,48.36,30.714794
,2022-01-21,59059.0,GOBBA,Consumidor Especial,SUL,48.36,28.69949
,2022-01-22,59059.0,GOBBA,Consumidor Especial,SUL,48.36,5.394211
,2022-01-23,59059.0,GOBBA,Consumidor Especial,SUL,48.36,5.540632
,2022-01-24,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.60385
,2022-01-25,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.599626
,2022-01-26,59059.0,GOBBA,Consumidor Especial,SUL,48.36,26.29771
,2022-01-27,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.978705
,2022-01-28,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.320471
,2022-01-29,59059.0,GOBBA,Consumidor Especial,SUL,48.36,14.255796
,2022-01-30,59059.0,GOBBA,Consumidor Especial,SUL,48.36,6.069695
,2022-01-31,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.064221
,2022-02-01,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.723572
,2022-02-02,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.908669
,2022-02-03,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.04217
,2022-02-04,59059.0,GOBBA,Consumidor Especial,SUL,48.36,8.150339
,2022-02-05,59059.0,GOBBA,Consumidor Especial,SUL,48.36,4.4896590000000005
,2022-02-06,59059.0,GOBBA,Consumidor Especial,SUL,48.36,4.71461
,2022-02-07,59059.0,GOBBA,Consumidor Especial,SUL,48.36,21.210492
,2022-02-08,59059.0,GOBBA,Consumidor Especial,SUL,48.36,24.141929
,2022-02-09,59059.0,GOBBA,Consumidor Especial,SUL,48.36,24.341751
,2022-02-10,59059.0,GOBBA,Consumidor Especial,SUL,48.36,23.283803
,2022-02-11,59059.0,GOBBA,Consumidor Especial,SUL,48.36,21.664989
,2022-02-12,59059.0,GOBBA,Consumidor Especial,SUL,48.36,3.768361
,2022-02-13,59059.0,GOBBA,Consumidor Especial,SUL,48.36,4.120931
,2022-02-14,59059.0,GOBBA,Consumidor Especial,SUL,48.36,23.987677
,2022-02-15,59059.0,GOBBA,Consumidor Especial,SUL,48.36,26.180606
,2022-02-16,59059.0,GOBBA,Consumidor Especial,SUL,48.36,24.858371
,2022-02-17,59059.0,GOBBA,Consumidor Especial,SUL,48.36,25.816599
,2022-02-18,59059.0,GOBBA,Consumidor Especial,SUL,48.36,25.839063
,2022-02-19,59059.0,GOBBA,Consumidor Especial,SUL,48.36,13.368839
,2022-02-20,59059.0,GOBBA,Consumidor Especial,SUL,48.36,5.362699
,2022-02-21,59059.0,GOBBA,Consumidor Especial,SUL,48.36,27.002807
,2022-02-22,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.419376
,2022-02-23,59059.0,GOBBA,Consumidor Especial,SUL,48.36,34.326855
,2022-02-24,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.775027
,2022-02-25,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.892109
,2022-02-26,59059.0,GOBBA,Consumidor Especial,SUL,48.36,15.936556
,2022-02-27,59059.0,GOBBA,Consumidor Especial,SUL,48.36,5.252982
,2022-02-28,59059.0,GOBBA,Consumidor Especial,SUL,48.36,27.695685
,2022-03-01,59059.0,GOBBA,Consumidor Especial,SUL,48.36,28.127511
,2022-03-02,59059.0,GOBBA,Consumidor Especial,SUL,48.36,28.122806
,2022-03-03,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.555681
,2022-03-04,59059.0,GOBBA,Consumidor Especial,SUL,48.36,28.09315
,2022-03-05,59059.0,GOBBA,Consumidor Especial,SUL,48.36,7.321551
,2022-03-06,59059.0,GOBBA,Consumidor Especial,SUL,48.36,4.095347
,2022-03-07,59059.0,GOBBA,Consumidor Especial,SUL,48.36,27.360846
,2022-03-08,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.411955
,2022-03-09,59059.0,GOBBA,Consumidor Especial,SUL,48.36,31.697643
,2022-03-10,59059.0,GOBBA,Consumidor Especial,SUL,48.36,23.274432
,2022-03-11,59059.0,GOBBA,Consumidor Especial,SUL,48.36,36.315162
,2022-03-12,59059.0,GOBBA,Consumidor Especial,SUL,48.36,23.476468
,2022-03-13,59059.0,GOBBA,Consumidor Especial,SUL,48.36,6.149818
,2022-03-14,59059.0,GOBBA,Consumidor Especial,SUL,48.36,34.757828
,2022-03-15,59059.0,GOBBA,Consumidor Especial,SUL,48.36,34.938176
,2022-03-16,59059.0,GOBBA,Consumidor Especial,SUL,48.36,35.048764
,2022-03-17,59059.0,GOBBA,Consumidor Especial,SUL,48.36,34.769447
,2022-03-18,59059.0,GOBBA,Consumidor Especial,SUL,48.36,34.056318
,2022-03-19,59059.0,GOBBA,Consumidor Especial,SUL,48.36,14.109983
,2022-03-20,59059.0,GOBBA,Consumidor Especial,SUL,48.36,6.881781999999999
,2022-03-21,59059.0,GOBBA,Consumidor Especial,SUL,48.36,34.708735
,2022-03-22,59059.0,GOBBA,Consumidor Especial,SUL,48.36,36.095564
,2022-03-23,59059.0,GOBBA,Consumidor Especial,SUL,48.36,36.269454
,2022-03-24,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.90855
,2022-03-25,59059.0,GOBBA,Consumidor Especial,SUL,48.36,32.658436
,2022-03-26,59059.0,GOBBA,Consumidor Especial,SUL,48.36,21.617366
,2022-03-27,59059.0,GOBBA,Consumidor Especial,SUL,48.36,7.257786
,2022-03-28,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.06913
,2022-03-29,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.727417
,2022-03-30,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.578376
,2022-03-31,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.202346
,2022-04-01,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.53792
,2022-04-02,59059.0,GOBBA,Consumidor Especial,SUL,48.36,14.593719
,2022-04-03,59059.0,GOBBA,Consumidor Especial,SUL,48.36,6.666191
,2022-04-04,59059.0,GOBBA,Consumidor Especial,SUL,48.36,34.354648
,2022-04-05,59059.0,GOBBA,Consumidor Especial,SUL,48.36,36.371736
,2022-04-06,59059.0,GOBBA,Consumidor Especial,SUL,48.36,37.524882
,2022-04-07,59059.0,GOBBA,Consumidor Especial,SUL,48.36,38.549402
,2022-04-08,59059.0,GOBBA,Consumidor Especial,SUL,48.36,35.35338
,2022-04-09,59059.0,GOBBA,Consumidor Especial,SUL,48.36,33.513611
