MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-12-01,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.472928
,2022-12-02,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,6.338269
,2022-12-03,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,2.07525
,2022-12-04,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,0.427413
,2022-12-05,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,5.56022
,2022-12-06,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,6.628963
,2022-12-07,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.39882
,2022-12-08,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.237395
,2022-12-09,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,4.378885
,2022-12-10,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,1.750945
,2022-12-11,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,0.468185
,2022-12-12,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,5.499182
,2022-12-13,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.392503
,2022-12-14,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.293723
,2022-12-15,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.52257
,2022-12-16,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.300808
,2022-12-17,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,1.340643
,2022-12-18,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,0.432538
,2022-12-19,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,4.898324
,2022-12-20,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,6.048669
,2022-12-21,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,5.940274
,2022-12-22,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,5.972723
,2022-12-23,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,5.246706
,2022-12-24,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,0.462129
,2022-12-25,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,0.501968
,2022-12-26,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,4.420072
,2022-12-27,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,6.609926
,2022-12-28,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.136097
,2022-12-29,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,6.676624
,2022-12-30,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,7.072765
,2022-12-31,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,12.0,1.460578
202410.0,2024-10-01,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.522825
202410.0,2024-10-01,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.522825
,2024-10-01,,GR QUIMICA ESP,,,15.6,7.522825
202410.0,2024-10-02,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.880578
202410.0,2024-10-02,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.880578
,2024-10-02,,GR QUIMICA ESP,,,15.6,7.880578
202410.0,2024-10-03,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.671538
202410.0,2024-10-03,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.671538
,2024-10-03,,GR QUIMICA ESP,,,15.6,7.671538
202410.0,2024-10-04,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.992679
202410.0,2024-10-04,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.992679
,2024-10-04,,GR QUIMICA ESP,,,15.6,6.992679
202410.0,2024-10-05,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.522978
202410.0,2024-10-05,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.522978
,2024-10-05,,GR QUIMICA ESP,,,15.6,1.522978
202410.0,2024-10-06,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.48323
202410.0,2024-10-06,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.48323
,2024-10-06,,GR QUIMICA ESP,,,15.6,0.48323
202410.0,2024-10-07,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.498602
202410.0,2024-10-07,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.498602
,2024-10-07,,GR QUIMICA ESP,,,15.6,5.498602
202410.0,2024-10-08,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.962044
202410.0,2024-10-08,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.962044
,2024-10-08,,GR QUIMICA ESP,,,15.6,6.962044
202410.0,2024-10-09,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.524623
202410.0,2024-10-09,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.524623
,2024-10-09,,GR QUIMICA ESP,,,15.6,7.524623
202410.0,2024-10-10,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.786535
202410.0,2024-10-10,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.786535
,2024-10-10,,GR QUIMICA ESP,,,15.6,7.786535
202410.0,2024-10-11,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.793112
202410.0,2024-10-11,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.793112
,2024-10-11,,GR QUIMICA ESP,,,15.6,7.793112
202410.0,2024-10-12,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,2.040989
202410.0,2024-10-12,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,2.040989
,2024-10-12,,GR QUIMICA ESP,,,15.6,2.040989
202410.0,2024-10-13,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.533371
202410.0,2024-10-13,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.533371
,2024-10-13,,GR QUIMICA ESP,,,15.6,0.533371
202410.0,2024-10-14,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.952795
202410.0,2024-10-14,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.952795
,2024-10-14,,GR QUIMICA ESP,,,15.6,5.952795
202410.0,2024-10-15,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.418845
202410.0,2024-10-15,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.418845
,2024-10-15,,GR QUIMICA ESP,,,15.6,8.418845
202410.0,2024-10-16,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.983708
202410.0,2024-10-16,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.983708
,2024-10-16,,GR QUIMICA ESP,,,15.6,7.983708
202410.0,2024-10-17,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.651834
202410.0,2024-10-17,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.651834
,2024-10-17,,GR QUIMICA ESP,,,15.6,7.651834
202410.0,2024-10-18,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.048338
202410.0,2024-10-18,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.048338
,2024-10-18,,GR QUIMICA ESP,,,15.6,7.048338
202410.0,2024-10-19,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.46044
202410.0,2024-10-19,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.46044
,2024-10-19,,GR QUIMICA ESP,,,15.6,1.46044
202410.0,2024-10-20,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.50392
202410.0,2024-10-20,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.50392
,2024-10-20,,GR QUIMICA ESP,,,15.6,0.50392
202410.0,2024-10-21,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.63595
202410.0,2024-10-21,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.63595
,2024-10-21,,GR QUIMICA ESP,,,15.6,4.63595
202410.0,2024-10-22,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.419659
202410.0,2024-10-22,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.419659
,2024-10-22,,GR QUIMICA ESP,,,15.6,7.419659
202410.0,2024-10-23,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.941789
202410.0,2024-10-23,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.941789
,2024-10-23,,GR QUIMICA ESP,,,15.6,5.941789
202410.0,2024-10-24,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.757774
202410.0,2024-10-24,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.757774
,2024-10-24,,GR QUIMICA ESP,,,15.6,6.757774
202410.0,2024-10-25,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.990634
202410.0,2024-10-25,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.990634
,2024-10-25,,GR QUIMICA ESP,,,15.6,6.990634
202410.0,2024-10-26,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.78304
202410.0,2024-10-26,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.78304
,2024-10-26,,GR QUIMICA ESP,,,15.6,1.78304
202410.0,2024-10-27,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.559997
202410.0,2024-10-27,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.559997
,2024-10-27,,GR QUIMICA ESP,,,15.6,0.559997
202410.0,2024-10-28,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.554896
202410.0,2024-10-28,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.554896
,2024-10-28,,GR QUIMICA ESP,,,15.6,5.554896
202410.0,2024-10-29,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.08249
202410.0,2024-10-29,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.08249
,2024-10-29,,GR QUIMICA ESP,,,15.6,7.08249
202410.0,2024-10-30,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.948591
202410.0,2024-10-30,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.948591
,2024-10-30,,GR QUIMICA ESP,,,15.6,6.948591
202410.0,2024-10-31,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.536834
202410.0,2024-10-31,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.536834
,2024-10-31,,GR QUIMICA ESP,,,15.6,7.536834
202411.0,2024-11-01,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.670172
202411.0,2024-11-01,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.670172
,2024-11-01,,GR QUIMICA ESP,,,15.6,7.670172
202411.0,2024-11-02,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.938012
202411.0,2024-11-02,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.938012
,2024-11-02,,GR QUIMICA ESP,,,15.6,1.938012
202411.0,2024-11-03,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.56342
202411.0,2024-11-03,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.56342
,2024-11-03,,GR QUIMICA ESP,,,15.6,0.56342
202411.0,2024-11-04,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.756051
202411.0,2024-11-04,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.756051
,2024-11-04,,GR QUIMICA ESP,,,15.6,4.756051
202411.0,2024-11-05,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.900001
202411.0,2024-11-05,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.900001
,2024-11-05,,GR QUIMICA ESP,,,15.6,6.900001
202411.0,2024-11-06,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.573697
202411.0,2024-11-06,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.573697
,2024-11-06,,GR QUIMICA ESP,,,15.6,4.573697
202411.0,2024-11-07,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.9961780000000005
202411.0,2024-11-07,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.9961780000000005
,2024-11-07,,GR QUIMICA ESP,,,15.6,5.9961780000000005
202411.0,2024-11-08,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.626745
202411.0,2024-11-08,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.626745
,2024-11-08,,GR QUIMICA ESP,,,15.6,6.626745
202411.0,2024-11-09,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.115437
202411.0,2024-11-09,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.115437
,2024-11-09,,GR QUIMICA ESP,,,15.6,1.115437
202411.0,2024-11-10,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,2.34385
202411.0,2024-11-10,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,2.34385
,2024-11-10,,GR QUIMICA ESP,,,15.6,2.34385
202411.0,2024-11-11,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.322962
202411.0,2024-11-11,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.322962
,2024-11-11,,GR QUIMICA ESP,,,15.6,6.322962
202411.0,2024-11-12,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.012582
202411.0,2024-11-12,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.012582
,2024-11-12,,GR QUIMICA ESP,,,15.6,7.012582
202411.0,2024-11-13,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.588613
202411.0,2024-11-13,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.588613
,2024-11-13,,GR QUIMICA ESP,,,15.6,7.588613
202411.0,2024-11-14,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.988469
202411.0,2024-11-14,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.988469
,2024-11-14,,GR QUIMICA ESP,,,15.6,5.988469
202411.0,2024-11-15,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.873767
202411.0,2024-11-15,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.873767
,2024-11-15,,GR QUIMICA ESP,,,15.6,1.873767
202411.0,2024-11-16,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.7575
202411.0,2024-11-16,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.7575
,2024-11-16,,GR QUIMICA ESP,,,15.6,0.7575
202411.0,2024-11-17,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.629338
202411.0,2024-11-17,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.629338
,2024-11-17,,GR QUIMICA ESP,,,15.6,0.629338
202411.0,2024-11-18,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.952577
202411.0,2024-11-18,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.952577
,2024-11-18,,GR QUIMICA ESP,,,15.6,4.952577
202411.0,2024-11-19,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.295439
202411.0,2024-11-19,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.295439
,2024-11-19,,GR QUIMICA ESP,,,15.6,7.295439
202411.0,2024-11-20,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.788533
202411.0,2024-11-20,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,6.788533
,2024-11-20,,GR QUIMICA ESP,,,15.6,6.788533
202411.0,2024-11-21,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.565896
202411.0,2024-11-21,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.565896
,2024-11-21,,GR QUIMICA ESP,,,15.6,7.565896
202411.0,2024-11-22,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.618429
202411.0,2024-11-22,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.618429
,2024-11-22,,GR QUIMICA ESP,,,15.6,5.618429
202411.0,2024-11-23,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.423357
202411.0,2024-11-23,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.423357
,2024-11-23,,GR QUIMICA ESP,,,15.6,0.423357
202411.0,2024-11-24,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.460094
202411.0,2024-11-24,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.460094
,2024-11-24,,GR QUIMICA ESP,,,15.6,0.460094
202411.0,2024-11-25,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.375965
202411.0,2024-11-25,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.375965
,2024-11-25,,GR QUIMICA ESP,,,15.6,5.375965
202411.0,2024-11-26,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.334657
202411.0,2024-11-26,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.334657
,2024-11-26,,GR QUIMICA ESP,,,15.6,7.334657
202411.0,2024-11-27,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.579043
202411.0,2024-11-27,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.579043
,2024-11-27,,GR QUIMICA ESP,,,15.6,7.579043
202411.0,2024-11-28,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.044096
202411.0,2024-11-28,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.044096
,2024-11-28,,GR QUIMICA ESP,,,15.6,7.044096
202411.0,2024-11-29,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,3.636547
202411.0,2024-11-29,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,3.636547
,2024-11-29,,GR QUIMICA ESP,,,15.6,3.636547
202411.0,2024-11-30,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.62157
202411.0,2024-11-30,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.62157
,2024-11-30,,GR QUIMICA ESP,,,15.6,0.62157
202412.0,2024-12-01,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.59005
202412.0,2024-12-01,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.59005
,2024-12-01,,GR QUIMICA ESP,,,15.6,0.59005
202412.0,2024-12-02,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.128471
202412.0,2024-12-02,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,4.128471
,2024-12-02,,GR QUIMICA ESP,,,15.6,4.128471
202412.0,2024-12-03,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.862071
202412.0,2024-12-03,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,5.862071
,2024-12-03,,GR QUIMICA ESP,,,15.6,5.862071
202412.0,2024-12-04,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.637112
202412.0,2024-12-04,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.637112
,2024-12-04,,GR QUIMICA ESP,,,15.6,8.637112
202412.0,2024-12-05,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.150056
202412.0,2024-12-05,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.150056
,2024-12-05,,GR QUIMICA ESP,,,15.6,8.150056
202412.0,2024-12-06,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.886118
202412.0,2024-12-06,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.886118
,2024-12-06,,GR QUIMICA ESP,,,15.6,8.886118
202412.0,2024-12-07,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.759153
202412.0,2024-12-07,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.759153
,2024-12-07,,GR QUIMICA ESP,,,15.6,1.759153
202412.0,2024-12-08,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,2.409121
202412.0,2024-12-08,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,2.409121
,2024-12-08,,GR QUIMICA ESP,,,15.6,2.409121
202412.0,2024-12-09,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.614416
202412.0,2024-12-09,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.614416
,2024-12-09,,GR QUIMICA ESP,,,15.6,8.614416
202412.0,2024-12-10,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.936103
202412.0,2024-12-10,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.936103
,2024-12-10,,GR QUIMICA ESP,,,15.6,7.936103
202412.0,2024-12-11,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.4357
202412.0,2024-12-11,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.4357
,2024-12-11,,GR QUIMICA ESP,,,15.6,8.4357
202412.0,2024-12-12,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.314996
202412.0,2024-12-12,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,8.314996
,2024-12-12,,GR QUIMICA ESP,,,15.6,8.314996
202412.0,2024-12-13,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.50067
202412.0,2024-12-13,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,7.50067
,2024-12-13,,GR QUIMICA ESP,,,15.6,7.50067
202412.0,2024-12-14,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.731074
202412.0,2024-12-14,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,1.731074
,2024-12-14,,GR QUIMICA ESP,,,15.6,1.731074
202412.0,2024-12-15,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.5643279999999999
202412.0,2024-12-15,90690.0,GR QUIMICA ESP,Consumidor Especial,SUDESTE,15.6,0.5643279999999999
