MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,0.958893
,2022-01-02,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.883368
,2022-01-03,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.341144
,2022-01-04,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.164204
,2022-01-05,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.914613
,2022-01-06,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.780155
,2022-01-07,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.740555
,2022-01-08,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,4.49988
,2022-01-09,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.329387
,2022-01-10,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.096683
,2022-01-11,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.143915
,2022-01-12,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.922803
,2022-01-13,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.143859
,2022-01-14,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.698705
,2022-01-15,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,5.213342
,2022-01-16,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.5367
,2022-01-17,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.255723
,2022-01-18,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.080996
,2022-01-19,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.935466
,2022-01-20,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,6.182241
,2022-01-21,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,6.658201
,2022-01-22,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,4.901994
,2022-01-23,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.41008
,2022-01-24,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.824162
,2022-01-25,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.398373
,2022-01-26,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.935305
,2022-01-27,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.225781
,2022-01-28,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.859959
,2022-01-29,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.560727
,2022-01-30,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.49514
,2022-01-31,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.168409
,2022-02-01,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.079922
,2022-02-02,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,6.985825
,2022-02-03,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.144311
,2022-02-04,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,3.090893
,2022-02-05,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,4.617116
,2022-02-06,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.177875
,2022-02-07,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.900311
,2022-02-08,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.112966
,2022-02-09,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.675982
,2022-02-10,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.559496
,2022-02-11,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,7.379248
,2022-02-12,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,5.253732
,2022-02-13,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,1.544836
,2022-02-14,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.400057
,2022-02-15,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.121189
,2022-02-16,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,9.693343
,2022-02-17,66901.0,GUACIRA,Consumidor Especial,SUL,26.16,8.814178
